id,survival_time,survival_status,pressureInd,moistureInd,temperatureInd
0,56.000000,1.000000,92.178854,104.230204,96.517159
1,60.000000,1.000000,96.272254,77.801376,112.196170
2,80.000000,0.000000,94.406461,108.493608,72.025374
3,34.000000,1.000000,97.752899,99.413492,103.756271
4,30.000000,1.000000,87.678801,115.712262,89.792105
5,68.000000,1.000000,94.614174,85.702236,142.827001
6,65.000000,1.000000,96.483303,93.046797,98.316190
7,23.000000,1.000000,105.486158,118.291997,96.028822
8,80.000000,0.000000,99.178235,99.138717,95.492965
9,38.000000,1.000000,97.817844,111.074168,94.942443
10,29.000000,1.000000,67.812251,96.107846,122.371809
11,65.000000,1.000000,86.366111,92.561972,96.667950
12,65.000000,1.000000,76.144654,93.973454,108.944273
13,80.000000,0.000000,103.107263,103.673197,79.504532
14,80.000000,1.000000,88.414079,97.362755,89.319813
15,80.000000,1.000000,79.669255,95.926908,99.735635
16,80.000000,0.000000,86.229109,86.111900,111.842548
17,80.000000,0.000000,84.179420,114.074066,83.627450
18,74.000000,1.000000,100.005923,103.502876,96.876035
19,61.000000,1.000000,97.697189,101.884961,130.135676
20,35.000000,1.000000,101.415623,89.753746,114.909434
21,26.000000,1.000000,118.978697,105.298916,115.247085
22,63.000000,1.000000,102.112775,106.250695,92.315195
23,80.000000,0.000000,129.124338,103.344720,92.846359
24,79.000000,1.000000,109.033036,92.754120,124.760445
25,53.000000,1.000000,107.298069,85.055291,109.841003
26,73.000000,1.000000,127.263954,103.557292,133.859669
27,60.000000,1.000000,138.191120,91.656269,101.925928
28,13.000000,1.000000,72.554084,111.376419,93.541420
29,34.000000,1.000000,95.214649,93.071709,75.845421
30,36.000000,1.000000,91.247132,93.037282,94.458397
31,80.000000,1.000000,81.555377,90.698894,97.026904
32,65.000000,1.000000,69.134595,81.980122,81.033925
33,31.000000,1.000000,132.857478,82.037283,106.719265
34,74.000000,1.000000,54.735331,91.324433,91.424795
35,25.000000,1.000000,84.898646,84.867901,96.556052
36,58.000000,1.000000,94.152287,88.446659,135.744778
37,80.000000,1.000000,84.344066,103.377052,113.275459
38,65.000000,1.000000,95.753524,92.315808,95.327028
39,19.000000,1.000000,123.928440,102.340257,110.950761
40,60.000000,1.000000,101.505351,77.659821,107.656094
41,80.000000,0.000000,120.945550,101.985852,101.884102
42,13.000000,1.000000,83.068571,104.160710,124.362915
43,12.000000,1.000000,113.349122,114.473186,101.565777
44,15.000000,1.000000,75.646693,114.198857,86.817937
45,26.000000,1.000000,113.435832,91.820619,95.365085
46,43.000000,1.000000,81.779784,91.965654,75.146546
47,80.000000,1.000000,68.850651,106.214236,115.711970
48,65.000000,1.000000,150.665421,89.139032,102.679903
49,1.000000,1.000000,72.423129,120.484155,116.400433
50,34.000000,1.000000,97.132862,117.244906,101.504204
51,80.000000,1.000000,113.965257,127.302607,107.264736
52,12.000000,1.000000,57.463213,104.979089,100.528015
53,80.000000,0.000000,144.344517,95.121862,127.840226
54,80.000000,0.000000,80.692232,102.925459,74.673653
55,65.000000,1.000000,93.913326,91.262115,91.486618
56,20.000000,1.000000,73.321153,123.898000,129.439690
57,16.000000,1.000000,83.958312,101.750880,117.898146
58,3.000000,1.000000,56.171771,88.917030,96.143387
59,18.000000,1.000000,105.900037,104.268169,54.573630
60,7.000000,1.000000,115.698401,105.850846,89.343800
61,47.000000,1.000000,119.745996,119.104633,112.341283
62,39.000000,1.000000,87.392841,106.166234,84.521713
63,48.000000,1.000000,82.881800,91.025179,94.620074
64,57.000000,1.000000,122.287991,93.848352,91.064990
65,68.000000,1.000000,85.072209,104.109465,107.714037
66,18.000000,1.000000,119.204381,111.772156,84.242085
67,1.000000,1.000000,107.785993,117.390336,113.377308
68,80.000000,0.000000,90.671234,89.563883,86.384185
69,65.000000,1.000000,66.637884,92.205831,99.061979
70,4.000000,1.000000,107.837359,99.838172,111.084853
71,24.000000,1.000000,113.272605,114.696552,79.699820
