attribute,value
age,"(-inf, 28.02>"
age,"(28.02, 29.595>"
age,"(29.595, 29.810000000000002>"
age,"(29.810000000000002, 30.77>"
age,"(30.77, 31.965>"
age,"(31.965, 33.385000000000005>"
age,"(33.385000000000005, 33.5>"
age,"(33.5, 33.760000000000005>"
age,"(33.760000000000005, 36.315>"
age,"(36.315, 36.32>"
age,"(36.32, 36.925>"
age,"(36.925, 38.43>"
age,"(38.43, 42.82>"
age,"(42.82, 45.5>"
age,"(45.5, 49.985>"
age,"(49.985, 54.615>"
age,"(54.615, 59.905>"
age,"(59.905, inf)"
medwidsi,{N}
trtgiven,{RT}
clinstg,"(-inf, 1.5>"
clinstg,"(1.5, inf)"
extranod,{N}
