attribute,value
cd4,"(-inf, 1.0>"
cd4,"(1.0, 1.75>"
cd4,"(1.75, 2.5>"
cd4,"(2.5, 4.25>"
cd4,"(4.25, 5.75>"
cd4,"(5.75, 11.75>"
cd4,"(11.75, 18.5>"
cd4,"(18.5, 19.0>"
cd4,"(19.0, 19.25>"
cd4,"(19.25, 23.25>"
cd4,"(23.25, 24.0>"
cd4,"(24.0, 38.25>"
cd4,"(38.25, 38.75>"
cd4,"(38.75, 40.5>"
cd4,"(40.5, 47.0>"
cd4,"(47.0, 57.25>"
cd4,"(57.25, 64.25>"
cd4,"(64.25, 68.25>"
cd4,"(68.25, 78.25>"
cd4,"(78.25, 81.25>"
cd4,"(81.25, 116.25>"
cd4,"(116.25, 370.0>"
cd4,"(370.0, inf)"
tx,"(-inf, 0.5>"
tx,"(0.5, inf)"
priorzdv,"(-inf, 5.5>"
priorzdv,"(5.5, 6.5>"
priorzdv,"(6.5, 9.5>"
priorzdv,"(9.5, 11.0>"
priorzdv,"(11.0, 11.25>"
priorzdv,"(11.25, 11.5>"
priorzdv,"(11.5, 12.5>"
priorzdv,"(12.5, 40.0>"
priorzdv,"(40.0, 61.0>"
priorzdv,"(61.0, 86.0>"
priorzdv,"(86.0, 92.5>"
priorzdv,"(92.5, 94.5>"
priorzdv,"(94.5, 99.5>"
priorzdv,"(99.5, 112.0>"
priorzdv,"(112.0, 116.5>"
priorzdv,"(116.5, 119.0>"
priorzdv,"(119.0, 120.0>"
priorzdv,"(120.0, 123.0>"
priorzdv,"(123.0, 124.0>"
priorzdv,"(124.0, 158.0>"
priorzdv,"(158.0, inf)"
strat2,"(-inf, 0.5>"
strat2,"(0.5, inf)"
karnof,"(-inf, 95.0>"
karnof,"(95.0, inf)"
age,"(-inf, 15.5>"
age,"(15.5, 23.5>"
age,"(23.5, 26.5>"
age,"(26.5, 28.0>"
age,"(28.0, 30.5>"
age,"(30.5, 32.5>"
age,"(32.5, 39.5>"
age,"(39.5, 41.5>"
age,"(41.5, 56.5>"
age,"(56.5, 59.0>"
age,"(59.0, 64.5>"
age,"(64.5, 66.5>"
age,"(66.5, inf)"
raceth,"(-inf, 4.5>"
raceth,"(4.5, inf)"
txgrp,"(-inf, 1.5>"
txgrp,"(1.5, 2.5>"
txgrp,"(2.5, 3.0>"
txgrp,"(3.0, inf)"
ivdrug,"(-inf, 2.5>"
ivdrug,"(2.5, inf)"
hemophil,"(-inf, 0.5>"
hemophil,"(0.5, inf)"
