((SensorMeasure4, (SensorMeasure4, (1036.0700000000002, inf)) -> (SensorMeasure4, (1036.0700000000002, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2387.99>) -> (SensorMeasure13, (-inf, 2387.99>)) AND (SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (-inf, 9.015>)) AND (SensorMeasure3, (SensorMeasure3, (1349.03, 1356.685>) -> (SensorMeasure3, (-inf, 1349.03>)))
((SensorMeasure13, (SensorMeasure13, (2387.99, 2388.0550000000003>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure4, (SensorMeasure4, (1036.0700000000002, inf)) -> (SensorMeasure4, (1036.0700000000002, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2387.99>) -> (SensorMeasure13, (-inf, 2387.99>)) AND (SensorMeasure6, (SensorMeasure6, (9.015, 9.024999999999999>) -> (SensorMeasure6, (9.024999999999999, 13.645>)))
((SensorMeasure13, (SensorMeasure13, (-inf, 2387.99>) -> (SensorMeasure13, (-inf, 2387.99>)) AND (SensorMeasure6, (SensorMeasure6, (13.645, inf)) -> (SensorMeasure6, (-inf, 9.015>)) AND (SensorMeasure3, (SensorMeasure3, (1477.9899999999998, 1573.6399999999999>) -> (SensorMeasure3, (-inf, 1349.03>)))
((SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.0950000000003>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure13, (SensorMeasure13, (-inf, 2387.99>) -> (SensorMeasure13, (2388.0550000000003, 2388.0950000000003>)) AND (SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure13, (SensorMeasure13, (2388.0950000000003, inf)) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure17, (SensorMeasure17, (-inf, 392.5>) -> (SensorMeasure17, (-inf, 392.5>)))
((SensorMeasure13, (SensorMeasure13, (-inf, 2387.99>) -> (SensorMeasure13, (-inf, 2387.99>)) AND (SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (9.024999999999999, 13.645>)))
((SensorMeasure13, (SensorMeasure13, (2387.99, 2388.0550000000003>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure15, (SensorMeasure15, (8.3675, 10.86725>) -> (SensorMeasure15, (8.3675, 10.86725>)) AND (SensorMeasure6, (SensorMeasure6, (13.645, inf)) -> (SensorMeasure6, (9.024999999999999, 13.645>)) AND (SensorMeasure11, (SensorMeasure11, (36.504999999999995, 47.055>) -> (SensorMeasure11, (36.504999999999995, 47.055>)))
((SensorMeasure15, (SensorMeasure15, (8.3675, 10.86725>) -> (SensorMeasure15, (8.3675, 10.86725>)) AND (SensorMeasure11, (SensorMeasure11, (36.504999999999995, 47.055>) -> (SensorMeasure11, (47.055, 47.575>)) AND (SensorMeasure3, (SensorMeasure3, (1349.03, 1356.685>) -> (SensorMeasure3, (1581.97, inf))))
((SensorMeasure4, (SensorMeasure4, (1036.0700000000002, inf)) -> (SensorMeasure4, (1036.0700000000002, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2387.99>) -> (SensorMeasure13, (-inf, 2387.99>)) AND (SensorMeasure6, (SensorMeasure6, (9.015, 9.024999999999999>) -> (SensorMeasure6, (-inf, 9.015>)) AND (SensorMeasure3, (SensorMeasure3, (-inf, 1349.03>) -> (SensorMeasure3, (-inf, 1349.03>)))
