rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 4, 4, 1, 5.5105, 37.4392, 0.0000, 0.0000, 426.0000, 2659.0000, -2233.0000
r2, 3, 3, 0, 11.5073, 38.2496, 0.0000, 0.0000, 548.0000, 2659.0000, -2111.0000
r3, 3, 3, 1, 16.0454, 41.4911, 0.0000, 0.0000, 712.0000, 2659.0000, -1947.0000
r4, 5, 5, 1, 19.2869, 41.4911, 0.0000, 0.0000, 722.0000, 2659.0000, -1937.0000
r5, 4, 4, 1, 18.1524, 38.2496, 0.0000, 0.0000, 632.0000, 2659.0000, -2027.0000
r6, 2, 2, 0, 27.8768, 41.4911, 0.0000, 0.0000, 747.0000, 2659.0000, -1912.0000
r7, 3, 3, 0, 34.0357, 44.4084, 0.0000, 0.0000, 859.0000, 2659.0000, -1800.0000
r8, 2, 2, 0, 42.1394, 41.4911, 0.0000, 0.0000, 956.0000, 2659.0000, -1703.0000
r9, 4, 4, 1, 20.0972, 26.4182, 0.0000, 0.0000, 731.0000, 2659.0000, -1928.0000
r10, 4, 4, 0, 21.2318, 27.0665, 0.0000, 0.0000, 842.0000, 2659.0000, -1817.0000
r11, 3, 3, 0, 33.3874, 28.2010, 0.0000, 0.0000, 945.0000, 2659.0000, -1714.0000
r12, 3, 3, 0, 42.9498, 25.9319, 0.0000, 0.0000, 1183.0000, 2659.0000, -1476.0000
r13, 5, 5, 2, 36.4668, 18.4765, 0.0000, 0.0000, 2659.0000, 698.0000, 1961.0000
r14, 2, 2, 0, 47.8120, 9.8865, 0.0000, 0.0000, 2286.0000, 525.0000, 1761.0000
