((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (-inf, 58.5>) -> (age, (85.5, 94.0>)) AND (av3, (av3, (-inf, 0.5>) -> (av3, (-inf, 0.5>)))
((hr, (hr, (125.5, 142.5>) -> (hr, (66.0, 77.5>)) AND (age, (age, (73.5, 74.5>) -> (age, (-inf, 58.5>)))
((mitype, (mitype, (-inf, 0.5>) -> (mitype, (-inf, 0.5>)) AND (hr, (hr, (86.5, 117.5>) -> (hr, (86.5, 117.5>)) AND (age, (age, (74.5, 80.5>) -> (age, (85.5, 94.0>)))
((hr, (hr, (86.5, 117.5>) -> (hr, (66.0, 77.5>)) AND (age, (age, (74.5, 80.5>) -> (age, (-inf, 58.5>)))
((hr, (hr, (86.5, 117.5>) -> (hr, (66.0, 77.5>)) AND (age, (age, (80.5, 85.5>) -> (age, (-inf, 58.5>)))
((hr, (hr, (38.5, 66.0>) -> (hr, (66.0, 77.5>)) AND (age, (age, (85.5, 94.0>) -> (age, (-inf, 58.5>)))
((hr, (hr, (143.0, inf)) -> (hr, (66.0, 77.5>)) AND (age, (age, (80.5, 85.5>) -> (age, (-inf, 58.5>)))
((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (102.0, 116.0>)))
((mitype, (mitype, (-inf, 0.5>) -> (mitype, (-inf, 0.5>)) AND (hr, (hr, (38.5, 66.0>) -> (hr, (86.5, 117.5>)) AND (age, (age, (58.5, 69.5>) -> (age, (85.5, 94.0>)))
((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (58.5, 69.5>) -> (age, (85.5, 94.0>)))
((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (69.5, 71.5>) -> (age, (85.5, 94.0>)))
((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (-inf, 58.5>) -> (age, (85.5, 94.0>)))
((diasbp, (diasbp, (96.5, 102.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (-inf, 58.5>) -> (age, (85.5, 94.0>)))
((hr, (hr, (86.5, 117.5>) -> (hr, (66.0, 77.5>)) AND (age, (age, (85.5, 94.0>) -> (age, (-inf, 58.5>)))
((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (69.5, 71.5>) -> (age, (85.5, 94.0>)))
((hr, (hr, (117.5, 119.0>) -> (hr, (66.0, 77.5>)) AND (age, (age, (85.5, 94.0>) -> (age, (-inf, 58.5>)))
((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (58.5, 69.5>) -> (age, (85.5, 94.0>)))
((hr, (hr, (143.0, inf)) -> (hr, (66.0, 77.5>)) AND (age, (age, (74.5, 80.5>) -> (age, (-inf, 58.5>)))
((hr, (hr, (125.5, 142.5>) -> (hr, (66.0, 77.5>)) AND (age, (age, (85.5, 94.0>) -> (age, (-inf, 58.5>)))
((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (58.5, 69.5>) -> (age, (85.5, 94.0>)))
((hr, (hr, (38.5, 66.0>) -> (hr, (66.0, 77.5>)) AND (age, (age, (85.5, 94.0>) -> (age, (-inf, 58.5>)))
((mitype, (mitype, (-inf, 0.5>) -> (mitype, (-inf, 0.5>)) AND (hr, (hr, (86.5, 117.5>) -> (hr, (86.5, 117.5>)) AND (age, (age, (74.5, 80.5>) -> (age, (85.5, 94.0>)))
((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (71.5, 73.5>) -> (age, (85.5, 94.0>)))
((hr, (hr, (66.0, 77.5>) -> (hr, (66.0, 77.5>)) AND (age, (age, (69.5, 71.5>) -> (age, (-inf, 58.5>)))
((hr, (hr, (86.5, 117.5>) -> (hr, (66.0, 77.5>)) AND (age, (age, (85.5, 94.0>) -> (age, (-inf, 58.5>)))
((diasbp, (diasbp, (102.0, 116.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (58.5, 69.5>) -> (age, (85.5, 94.0>)))
((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (-inf, 58.5>) -> (age, (85.5, 94.0>)))
((age, (age, (-inf, 58.5>) -> (age, (85.5, 94.0>)))
((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (-inf, 58.5>) -> (age, (85.5, 94.0>)))
((hr, (hr, (86.5, 117.5>) -> (hr, (66.0, 77.5>)) AND (age, (age, (58.5, 69.5>) -> (age, (-inf, 58.5>)))
((age, (age, (-inf, 58.5>) -> (age, (85.5, 94.0>)))
((hr, (hr, (77.5, 86.5>) -> (hr, (66.0, 77.5>)) AND (age, (age, (74.5, 80.5>) -> (age, (-inf, 58.5>)))
((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (58.5, 69.5>) -> (age, (85.5, 94.0>)))
((hr, (hr, (38.5, 66.0>) -> (hr, (66.0, 77.5>)) AND (age, (age, (80.5, 85.5>) -> (age, (-inf, 58.5>)))
((mitype, (mitype, (-inf, 0.5>) -> (mitype, (-inf, 0.5>)) AND (hr, (hr, (38.5, 66.0>) -> (hr, (86.5, 117.5>)) AND (age, (age, (73.5, 74.5>) -> (age, (85.5, 94.0>)))
((hr, (hr, (77.5, 86.5>) -> (hr, (66.0, 77.5>)) AND (age, (age, (80.5, 85.5>) -> (age, (-inf, 58.5>)))
((diasbp, (diasbp, (59.5, 95.0>) -> (diasbp, (59.5, 95.0>)) AND (age, (age, (58.5, 69.5>) -> (age, (85.5, 94.0>)))
((hr, (hr, (66.0, 77.5>) -> (hr, (66.0, 77.5>)) AND (age, (age, (85.5, 94.0>) -> (age, (-inf, 58.5>)))
