attribute,value
SensorMeasure3,"(-inf, 1577.92>"
SensorMeasure3,"(1577.92, 1583.3249999999998>"
SensorMeasure3,"(1583.3249999999998, 1588.2150000000001>"
SensorMeasure3,"(1588.2150000000001, inf)"
SensorMeasure12,"(-inf, 518.935>"
SensorMeasure12,"(518.935, inf)"
SensorMeasure8,"(-inf, 2388.0600000000004>"
SensorMeasure8,"(2388.0600000000004, inf)"
SensorMeasure6,"(-inf, 21.605>"
SensorMeasure6,"(21.605, inf)"
OpSet1,"(-inf, -0.0042>"
OpSet1,"(-0.0042, 0.0022500000000000003>"
OpSet1,"(0.0022500000000000003, inf)"
OpSet2,"(-inf, -0.00045>"
OpSet2,"(-0.00045, inf)"
SensorMeasure11,"(-inf, 47.245000000000005>"
SensorMeasure11,"(47.245000000000005, inf)"
SensorMeasure20,"(-inf, 38.735>"
SensorMeasure20,"(38.735, 38.95>"
SensorMeasure20,"(38.95, inf)"
