id,distance,n_actions
0,0.057358,2
1,0.150224,2
2,0.107246,1
3,0.111706,2
4,0.182443,2
5,0.091304,1
6,0.138017,2
7,0.156634,2
8,0.063768,1
9,0.145652,1
10,0.208195,2
11,0.142977,2
12,0.159756,2
13,0.042029,1
14,0.076423,2
15,0.122576,2
16,0.076812,1
17,0.135731,2
18,0.079097,2
19,0.091895,2
20,0.155184,2
21,0.060145,1
22,0.071851,2
23,0.100000,1
24,0.108083,2
25,0.065217,1
26,0.086344,2
27,0.147938,2
28,0.060145,1
29,0.121739,1
30,0.167503,2
31,0.116667,1
32,0.078261,1
33,0.146489,2
34,0.102174,1
35,0.133445,2
36,0.202626,2
37,0.062681,1
38,0.100871,2
39,0.127492,2
40,0.156478,2
41,0.152993,2
42,0.195569,2
43,0.090976,2
44,0.144410,2
45,0.202458,2
46,0.080797,1
47,0.077993,2
48,0.150000,1
49,0.164181,2
50,0.101449,1
51,0.075725,1
52,0.104443,2
53,0.197359,2
54,0.125552,2
