attribute,value
mspike,"(-inf, 0.75>"
mspike,"(0.75, 1.05>"
mspike,"(1.05, 1.15>"
mspike,"(1.15, 1.95>"
mspike,"(1.95, inf)"
hgb,"(-inf, 11.350000000000001>"
hgb,"(11.350000000000001, 13.25>"
hgb,"(13.25, 14.149999999999999>"
hgb,"(14.149999999999999, 14.2>"
hgb,"(14.2, inf)"
dxyr,"(-inf, 59.5>"
dxyr,"(59.5, 60.0>"
dxyr,"(60.0, 61.0>"
dxyr,"(61.0, 62.5>"
dxyr,"(62.5, 70.5>"
dxyr,"(70.5, inf)"
age,"(-inf, 34.5>"
age,"(34.5, 54.5>"
age,"(54.5, 62.5>"
age,"(62.5, 65.5>"
age,"(65.5, 71.5>"
age,"(71.5, inf)"
