attribute,value
dysp1,"(-inf, 1.5>"
dysp1,"(1.5, inf)"
sex,{Male}
sex,{Female}
stdagepill,"(-inf, -3.0>"
stdagepill,"(-3.0, -2.909091>"
stdagepill,"(-2.909091, -2.2727269999999997>"
stdagepill,"(-2.2727269999999997, -1.0>"
stdagepill,"(-1.0, -0.090909>"
stdagepill,"(-0.090909, 1.7272729999999998>"
stdagepill,"(1.7272729999999998, 2.090909>"
stdagepill,"(2.090909, inf)"
sevdysp,{Worst isn't severe}
agepill,"(-inf, 40.5>"
agepill,"(40.5, 41.5>"
agepill,"(41.5, 42.5>"
agepill,"(42.5, 46.5>"
agepill,"(46.5, 51.5>"
agepill,"(51.5, 53.5>"
agepill,"(53.5, 56.5>"
agepill,"(56.5, 60.5>"
agepill,"(60.5, 66.5>"
agepill,"(66.5, inf)"
moddysp,{Worst isn't moderate}
smoke,{Ever}
basehist,{Normal}
basehist,{Esophagitis}
