((progrec, (progrec, (25.0, 43.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (-inf, 2.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (60.0, 64.5>) -> (age, (64.5, 65.5>)))
((estrec, (estrec, (-inf, 0.5>) -> (estrec, (287.0, 605.0>)) AND (progrec, (progrec, (5.5, 21.0>) -> (progrec, (103.5, 576.5>)))
((progrec, (progrec, (21.5, 23.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (42.5, 60.0>) -> (age, (64.5, 65.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (42.5, 60.0>) -> (age, (64.5, 65.5>)))
((progrec, (progrec, (99.0, 103.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (42.5, 60.0>) -> (age, (64.5, 65.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (43.0, 55.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (42.5, 60.0>) -> (age, (64.5, 65.5>)))
((age, (age, (60.0, 64.5>) -> (age, (64.5, 65.5>)))
((progrec, (progrec, (21.5, 23.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (36.5, 39.5>) -> (age, (64.5, 65.5>)))
((progrec, (progrec, (55.5, 99.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (36.5, 39.5>) -> (age, (64.5, 65.5>)))
((progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (-inf, 2.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (21.5, 23.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (25.0, 43.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (9.5, 10.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (42.5, 60.0>) -> (age, (64.5, 65.5>)))
((progrec, (progrec, (25.0, 43.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (42.5, 60.0>) -> (age, (64.5, 65.5>)))
((progrec, (progrec, (99.0, 103.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (2.5, 5.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (60.0, 64.5>) -> (age, (64.5, 65.5>)))
((progrec, (progrec, (55.5, 99.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (55.5, 99.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (99.0, 103.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (43.0, 55.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (75.5, 77.0>) -> (age, (64.5, 65.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (55.5, 99.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (65.5, 72.5>) -> (age, (64.5, 65.5>)))
((progrec, (progrec, (-inf, 2.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (55.5, 99.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (43.0, 55.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (55.5, 99.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (103.5, 576.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (43.0, 55.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (3.5, 9.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (-inf, 2.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (-inf, 2.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (2.5, 3.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (-inf, 2.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (42.5, 60.0>) -> (age, (64.5, 65.5>)))
((progrec, (progrec, (5.5, 21.0>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (-inf, 1.5>) -> (pnodes, (10.5, 40.5>)))
((progrec, (progrec, (43.0, 55.5>) -> (progrec, (-inf, 2.5>)) AND (pnodes, (pnodes, (1.5, 2.5>) -> (pnodes, (10.5, 40.5>)))
((age, (age, (42.5, 60.0>) -> (age, (64.5, 65.5>)))
