((age, (age, (74.5, inf)) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 13.25>) -> (hgb, (11.350000000000001, 13.25>)))
((age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (13.25, 14.149999999999999>) -> (hgb, (11.350000000000001, 13.25>)))
((hgb, (hgb, (14.2, 16.2>) -> (hgb, (9.95, 11.350000000000001>)))
((age, (age, (74.5, inf)) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (14.2, 16.2>) -> (hgb, (11.350000000000001, 13.25>)))
((age, (age, (74.5, inf)) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (9.95, 11.350000000000001>) -> (hgb, (11.350000000000001, 13.25>)))
((age, (age, (55.5, 62.5>) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (13.25, 14.149999999999999>) -> (hgb, (11.350000000000001, 13.25>)))
((age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 13.25>) -> (hgb, (11.350000000000001, 13.25>)))
((hgb, (hgb, (13.25, 14.149999999999999>) -> (hgb, (9.95, 11.350000000000001>)))
((age, (age, (34.5, 55.5>) -> (age, (74.5, inf))) AND (mspike, (mspike, (1.05, 1.95>) -> (mspike, (1.05, 1.95>)))
((age, (age, (65.5, 74.5>) -> (age, (74.5, inf))) AND (mspike, (mspike, (0.7000000000000001, 1.05>) -> (mspike, (1.05, 1.95>)))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))) AND (mspike, (mspike, (1.05, 1.95>) -> (mspike, (1.05, 1.95>)))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))) AND (mspike, (mspike, (1.95, inf)) -> (mspike, (1.05, 1.95>)))
((age, (age, (74.5, inf)) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (14.2, 16.2>) -> (hgb, (11.350000000000001, 13.25>)))
((age, (age, (55.5, 62.5>) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 13.25>) -> (hgb, (11.350000000000001, 13.25>)))
((age, (age, (55.5, 62.5>) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (14.2, 16.2>) -> (hgb, (11.350000000000001, 13.25>)))
((hgb, (hgb, (11.350000000000001, 13.25>) -> (hgb, (9.95, 11.350000000000001>)))
((age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 13.25>) -> (hgb, (11.350000000000001, 13.25>)))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))) AND (mspike, (mspike, (1.05, 1.95>) -> (mspike, (1.05, 1.95>)))
((hgb, (hgb, (14.2, 16.2>) -> (hgb, (9.95, 11.350000000000001>)) AND (dxyr, (dxyr, (62.5, 70.5>) -> (dxyr, (62.5, 70.5>)))
((age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (14.2, 16.2>) -> (hgb, (11.350000000000001, 13.25>)))
((age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 13.25>) -> (hgb, (11.350000000000001, 13.25>)))
((age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (14.149999999999999, 14.2>) -> (hgb, (11.350000000000001, 13.25>)))
((age, (age, (55.5, 62.5>) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (13.25, 14.149999999999999>) -> (hgb, (11.350000000000001, 13.25>)))
((age, (age, (65.5, 74.5>) -> (age, (34.5, 55.5>)) AND (hgb, (hgb, (14.2, 16.2>) -> (hgb, (11.350000000000001, 13.25>)))
