id,p
0,0.112012
1,0.000000
2,0.041909
3,0.000083
4,0.016537
5,0.000083
6,0.000047
7,0.001500
8,0.561319
9,0.020078
10,0.000083
11,0.000146
12,0.000000
13,0.003029
14,0.000555
15,0.000047
16,0.000146
17,0.000000
18,0.007310
19,0.227329
20,0.000329
21,0.613896
22,0.001903
23,0.227329
24,0.000004
25,0.029242
26,0.000000
27,0.000555
28,0.561319
29,0.227329
30,0.000007
31,0.001903
32,0.000920
33,0.000000
34,0.000252
35,0.000920
36,0.000001
37,0.561319
38,0.227329
39,0.000920
40,0.001500
41,0.227329
42,0.000000
43,0.000555
44,0.000083
45,0.613896
46,0.000001
47,0.198956
48,0.130105
49,0.198956
50,0.227329
51,0.227329
52,0.000035
53,0.613896
54,0.000146
55,0.000555
56,0.000920
57,0.000000
58,0.000026
59,0.227329
60,0.029242
61,0.000920
62,0.227329
63,0.000329
64,0.227329
65,0.069768
66,0.227329
67,0.001177
68,0.029242
69,0.001500
70,0.227329
71,0.227329
72,0.000000
73,0.227329
74,0.000329
75,0.613896
76,0.000000
77,0.227329
78,0.000026
79,0.000000
80,0.000000
81,0.000000
82,0.613896
83,0.000000
84,0.227329
85,0.001903
86,0.000083
87,0.005901
