attribute,value
mspike,"(-inf, 0.7000000000000001>"
mspike,"(0.7000000000000001, 2.3499999999999996>"
mspike,"(2.3499999999999996, 2.45>"
mspike,"(2.45, inf)"
dxyr,"(-inf, 59.5>"
dxyr,"(59.5, 60.5>"
dxyr,"(60.5, 70.5>"
dxyr,"(70.5, inf)"
hgb,"(-inf, 11.05>"
hgb,"(11.05, 11.25>"
hgb,"(11.25, 11.350000000000001>"
hgb,"(11.350000000000001, 14.149999999999999>"
hgb,"(14.149999999999999, 14.2>"
hgb,"(14.2, 16.35>"
hgb,"(16.35, inf)"
age,"(-inf, 55.5>"
age,"(55.5, 62.5>"
age,"(62.5, 65.5>"
age,"(65.5, 74.5>"
age,"(74.5, inf)"
