((protime, (protime, (11.25, 13.1>) -> (protime, (-inf, 9.850000000000001>)))
((age, (age, (43.2402465, 45.4223135>) -> (age, (43.2402465, 45.4223135>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (11.25, 13.1>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((age, (age, (65.381246, 71.0485965>) -> (age, (43.2402465, 45.4223135>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (11.25, 13.1>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((age, (age, (45.4223135, 64.609172>) -> (age, (43.2402465, 45.4223135>)))
((protime, (protime, (11.25, 13.1>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((bili, (bili, (1.75, 1.95>) -> (bili, (8.95, inf))) AND (age, (age, (33.8480495, 41.379876499999995>) -> (age, (45.4223135, 64.609172>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (8.95, inf)) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (-inf, 9.850000000000001>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (8.95, inf))) AND (age, (age, (43.2402465, 45.4223135>) -> (age, (45.4223135, 64.609172>)))
((bili, (bili, (1.95, 2.25>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (8.95, inf))) AND (protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)))
((protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (1.35, 1.75>) -> (bili, (8.95, inf))) AND (age, (age, (45.4223135, 64.609172>) -> (age, (45.4223135, 64.609172>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.850000000000001, 9.95>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (11.25, 13.1>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((bili, (bili, (1.35, 1.75>) -> (bili, (8.95, inf))))
((bili, (bili, (1.95, 2.25>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)))
