attribute,value
albumin,"(-inf, 3.13>"
albumin,"(3.13, 3.16>"
albumin,"(3.16, 3.3049999999999997>"
albumin,"(3.3049999999999997, 3.535>"
albumin,"(3.535, 3.5949999999999998>"
albumin,"(3.5949999999999998, 3.6399999999999997>"
albumin,"(3.6399999999999997, 3.685>"
albumin,"(3.685, 4.04>"
albumin,"(4.04, 4.390000000000001>"
albumin,"(4.390000000000001, inf)"
bili,"(-inf, 1.35>"
bili,"(1.35, 1.75>"
bili,"(1.75, 1.95>"
bili,"(1.95, 2.25>"
bili,"(2.25, 2.3>"
bili,"(2.3, 8.95>"
bili,"(8.95, inf)"
protime,"(-inf, 9.850000000000001>"
protime,"(9.850000000000001, 9.95>"
protime,"(9.95, 11.25>"
protime,"(11.25, 13.1>"
protime,"(13.1, inf)"
age,"(-inf, 33.8480495>"
age,"(33.8480495, 41.379876499999995>"
age,"(41.379876499999995, 43.2402465>"
age,"(43.2402465, 45.4223135>"
age,"(45.4223135, 64.609172>"
age,"(64.609172, 65.381246>"
age,"(65.381246, 71.0485965>"
age,"(71.0485965, 72.23271700000001>"
age,"(72.23271700000001, inf)"
