attribute,value
rash,"(-inf, 0.5>"
rash,"(0.5, inf)"
vagina,"(-inf, 0.5>"
vagina,"(0.5, inf)"
npartner,"(-inf, 0.5>"
npartner,"(0.5, 1.5>"
npartner,"(1.5, 2.5>"
npartner,"(2.5, 4.5>"
npartner,"(4.5, 12.5>"
npartner,"(12.5, inf)"
abdpain,"(-inf, 0.5>"
abdpain,"(0.5, inf)"
dysuria,"(-inf, 0.5>"
dysuria,"(0.5, inf)"
os12m,"(-inf, 0.5>"
os12m,"(0.5, inf)"
age,"(-inf, 14.5>"
age,"(14.5, 15.5>"
age,"(15.5, 16.5>"
age,"(16.5, 17.5>"
age,"(17.5, 18.5>"
age,"(18.5, 19.5>"
age,"(19.5, 22.5>"
age,"(22.5, 28.5>"
age,"(28.5, 37.5>"
age,"(37.5, 41.5>"
age,"(41.5, 44.5>"
age,"(44.5, inf)"
abnode,"(-inf, 0.5>"
abnode,"(0.5, inf)"
lesion,"(-inf, 0.5>"
lesion,"(0.5, inf)"
yschool,"(-inf, 9.5>"
yschool,"(9.5, 10.5>"
yschool,"(10.5, 12.5>"
yschool,"(12.5, 13.5>"
yschool,"(13.5, inf)"
iinfct,"(-inf, 1.5>"
iinfct,"(1.5, 2.5>"
iinfct,"(2.5, inf)"
itch,"(-inf, 0.5>"
itch,"(0.5, inf)"
condom,"(-inf, 1.5>"
condom,"(1.5, 2.5>"
condom,"(2.5, inf)"
marital,{S}
rs30d,"(-inf, 0.5>"
rs30d,"(0.5, inf)"
rs12m,"(-inf, 0.5>"
rs12m,"(0.5, inf)"
dchexam,"(-inf, 0.5>"
dchexam,"(0.5, inf)"
race,{W}
