rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 2, 2, 0, 3.3333, 3.3333, 0.0000, 0.0003, 51.0000, 71.0000, -20.0000
r2, 2, 2, 0, 3.7778, 6.8889, 0.0000, 0.0001, 38.0000, 74.0000, -36.0000
r3, 2, 2, 0, 3.3333, 10.6667, 0.0000, 0.0000, 48.0000, 69.0000, -21.0000
r4, 3, 3, 0, 9.7778, 21.4444, 0.0000, 0.0003, 55.0000, 65.0000, -10.0000
r5, 3, 3, 0, 3.4444, 4.8889, 0.0000, 0.0004, 48.0000, 74.0000, -26.0000
r6, 3, 3, 0, 5.8889, 5.8889, 0.0000, 0.0000, 73.0000, 50.0000, 23.0000
r7, 3, 3, 0, 9.3333, 6.4444, 0.0000, 0.0000, 67.0000, 50.0000, 17.0000
r8, 2, 2, 0, 15.1111, 14.8889, 0.0000, 0.0001, 65.0000, 55.0000, 10.0000
r9, 2, 2, 0, 7.2222, 13.8889, 0.0000, 0.0049, 54.0000, 66.0000, -12.0000
r10, 3, 3, 0, 4.8889, 11.0000, 0.0000, 0.0000, 41.0000, 71.0000, -30.0000
r11, 3, 3, 0, 14.7778, 11.0000, 0.0000, 0.0000, 55.0000, 71.0000, -16.0000
r12, 3, 3, 0, 22.6667, 17.7778, 0.0000, 0.0001, 57.0000, 65.0000, -8.0000
r13, 3, 3, 0, 27.2222, 18.7778, 0.0000, 0.0005, 60.0000, 65.0000, -5.0000
r14, 3, 3, 0, 6.6667, 3.3333, 0.0000, 0.0000, 79.0000, 38.0000, 41.0000
r15, 3, 3, 0, 12.4444, 3.3333, 0.0000, 0.0001, 68.0000, 38.0000, 30.0000
r16, 2, 2, 0, 18.0000, 3.4444, 0.0000, 0.0003, 65.0000, 41.0000, 24.0000
r17, 2, 2, 0, 22.2222, 9.8889, 0.0000, 0.0026, 58.0000, 66.0000, -8.0000
r18, 2, 2, 0, 32.3333, 3.3333, 0.7778, 0.0006, 65.0000, 38.0000, 27.0000
r19, 3, 3, 1, 7.0000, 5.8889, 0.0000, 0.0000, 50.0000, 72.0000, -22.0000
r20, 2, 2, 0, 13.0000, 7.2222, 0.0000, 0.0001, 53.0000, 72.0000, -19.0000
r21, 3, 3, 1, 34.1111, 3.7778, 0.0000, 0.0531, 58.0000, 38.0000, 20.0000
r22, 2, 2, 0, 39.2222, 3.7778, 0.0000, 0.0318, 59.0000, 38.0000, 21.0000
