((agepill, (agepill, (42.5, 43.5>) -> (agepill, (-inf, 41.5>)))
((stdagepill, (stdagepill, (-2.909091, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.909091, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((agepill, (agepill, (60.0, 65.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((stdagepill, (stdagepill, (-1.909091, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((agepill, (agepill, (60.0, 65.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((stdagepill, (stdagepill, (-1.363636, -1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (60.0, 65.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (60.0, 65.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (43.5, 49.5>) -> (agepill, (-inf, 41.5>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((agepill, (agepill, (43.5, 49.5>) -> (agepill, (-inf, 41.5>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (60.0, 65.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (60.0, 65.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (43.5, 49.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (-inf, 41.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (43.5, 49.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (43.5, 49.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (43.5, 49.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 60.0>) -> (agepill, (-inf, 41.5>)))
