((age, (age, (57.2, 59.150000000000006>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (52.75, 55.9>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (52.75, 55.9>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (-inf, 1.5>)))
((age, (age, (67.55000000000001, inf)) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (18.75, 43.45>) -> (age, (67.55000000000001, inf))) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)))
((age, (age, (47.349999999999994, 52.75>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)))
((age, (age, (67.55000000000001, inf)) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (63.9, 66.95>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (43.45, 47.349999999999994>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))))
((age, (age, (60.95, 63.9>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)))
((age, (age, (60.95, 63.9>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)))
((age, (age, (18.75, 43.45>) -> (age, (57.2, 59.150000000000006>)) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)))
((age, (age, (67.55000000000001, inf)) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (18.75, 43.45>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (1.5, inf)) -> (clinstg, (-inf, 1.5>)))
((age, (age, (47.349999999999994, 52.75>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (63.9, 66.95>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (18.75, 43.45>) -> (age, (67.55000000000001, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (59.150000000000006, 60.95>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (18.75, 43.45>) -> (age, (67.55000000000001, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (63.9, 66.95>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (55.9, 57.2>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (67.55000000000001, inf)) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (43.45, 47.349999999999994>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (67.55000000000001, inf)) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (63.9, 66.95>) -> (age, (67.55000000000001, inf))) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))) AND (hgb, (hgb, (-inf, 153.5>) -> (hgb, (-inf, 153.5>)))
((age, (age, (55.9, 57.2>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (67.55000000000001, inf)) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (1.5, inf))))
((age, (age, (67.55000000000001, inf)) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (57.2, 59.150000000000006>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (57.2, 59.150000000000006>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
((age, (age, (47.349999999999994, 52.75>) -> (age, (18.75, 43.45>)) AND (clinstg, (clinstg, (-inf, 1.5>) -> (clinstg, (-inf, 1.5>)))
