attribute,value
hgb,"(-inf, 153.5>"
hgb,"(153.5, 156.0>"
hgb,"(156.0, 160.5>"
hgb,"(160.5, 163.0>"
hgb,"(163.0, 164.0>"
hgb,"(164.0, 168.0>"
hgb,"(168.0, inf)"
age,"(-inf, 18.75>"
age,"(18.75, 43.45>"
age,"(43.45, 47.349999999999994>"
age,"(47.349999999999994, 52.75>"
age,"(52.75, 55.9>"
age,"(55.9, 57.2>"
age,"(57.2, 59.150000000000006>"
age,"(59.150000000000006, 60.95>"
age,"(60.95, 63.9>"
age,"(63.9, 66.95>"
age,"(66.95, 67.55000000000001>"
age,"(67.55000000000001, inf)"
clinstg,"(-inf, 1.5>"
clinstg,"(1.5, inf)"
