id,left,right
0,73,24
1,78,27
2,303,24
3,303,24
4,606,21
5,260,21
6,23,24
7,50,21
8,13,20
9,63,21
10,769,21
11,260,21
12,27,22
13,80,24
14,50,21
15,1,21
16,63,21
17,260,21
18,260,21
19,303,24
20,260,21
21,73,24
22,488,31
23,8,24
24,11,21
25,31,31
26,50,21
27,0,21
28,260,21
29,275,27
30,295,31
31,303,24
32,0,21
33,117,21
34,260,21
35,303,24
36,415,20
37,260,21
38,305,20
39,7,24
40,50,21
41,488,31
42,303,24
43,9,24
44,180,23
45,303,24
46,488,31
47,303,24
48,27,21
49,0,24
50,59,21
51,230,23
52,21,21
53,30,23
54,260,21
55,260,21
56,260,21
57,230,23
58,80,24
59,68,21
60,303,24
61,80,24
62,50,21
63,60,24
64,5,24
65,260,21
66,260,21
67,23,24
68,63,21
69,50,21
70,260,21
71,2,21
72,23,24
73,303,24
74,303,24
75,303,24
76,488,31
77,420,21
78,21,21
79,27,21
80,63,21
81,303,24
82,30,24
83,27,21
84,73,24
85,367,25
86,50,21
