((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.675, 0.7416665>) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (-inf, 11.5>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (-inf, 0.2805555>) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (0.8083335, inf))))
((BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (0.5, inf)) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (-inf, 0.2805555>) -> (FRAC, (0.8083335, inf))))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (39.5, 40.5>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (0.8083335, inf))))
((BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (0.4611115, 0.6194445>) -> (FRAC, (0.8083335, inf))))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (-inf, 0.2805555>) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (0.397222, 0.4611115>) -> (FRAC, (0.8083335, inf))))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.2805555, 0.3444445>) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (-inf, 11.5>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (0.8083335, inf))))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (-inf, 0.2805555>) -> (FRAC, (0.8083335, inf))))
((BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (-inf, 11.5>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (-inf, 0.2805555>) -> (FRAC, (0.8083335, inf))))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (-inf, 11.5>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (-inf, 0.2805555>) -> (FRAC, (0.8083335, inf))))
((BECK, (BECK, (-inf, 11.5>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (-inf, 11.5>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (12.0, 15.5>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (-inf, 11.5>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (-inf, 0.2805555>) -> (FRAC, (0.8083335, inf))))
((BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (-inf, 0.2805555>) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (0.5, inf)) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (-inf, 11.5>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (-inf, 0.2805555>) -> (FRAC, (0.8083335, inf))))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (ND2, (ND2, (-1.118835, 0.361679>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-inf, -1.118835>)) AND (FRAC, (FRAC, (-inf, 0.2805555>) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)) AND (BECK, (BECK, (-inf, 11.5>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-inf, -1.118835>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (0.4611115, 0.6194445>) -> (FRAC, (0.8083335, inf))))
((BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.4611115, 0.6194445>) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (ND2, (ND2, (-1.118835, 0.361679>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (0.2805555, 0.3444445>) -> (FRAC, (0.8083335, inf))))
((BECK, (BECK, (-inf, 11.5>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (ND2, (ND2, (-1.118835, 0.361679>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.347222, 0.397222>) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (21.5, 22.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (-inf, 11.5>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (12.0, 15.5>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (0.8083335, inf))))
((BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (0.5, inf)) -> (RACE, (0.5, inf))) AND (BECK, (BECK, (15.5, 36.375>) -> (BECK, (-inf, 11.5>)) AND (FRAC, (FRAC, (0.2805555, 0.3444445>) -> (FRAC, (0.8083335, inf))))
((BECK, (BECK, (-inf, 11.5>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (-inf, 11.5>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (-inf, 0.2805555>) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (-inf, 11.5>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.8083335, inf)) -> (FRAC, (-inf, 0.2805555>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (-inf, 0.2805555>) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (15.5, 36.375>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.347222, 0.397222>) -> (FRAC, (-inf, 0.2805555>)))
((BECK, (BECK, (-inf, 11.5>) -> (BECK, (15.5, 36.375>)) AND (ND2, (ND2, (-inf, -1.118835>) -> (ND2, (-1.118835, 0.361679>)) AND (AGE, (AGE, (22.5, 40.5>) -> (AGE, (22.5, 40.5>)) AND (FRAC, (FRAC, (0.347222, 0.397222>) -> (FRAC, (-inf, 0.2805555>)))
