((age, (age, (74.5, inf)) -> (age, (74.5, inf))))
((age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((mspike, (mspike, (0.7000000000000001, 1.95>) -> (mspike, (0.7000000000000001, 1.95>)) AND (age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (62.5, 70.5>) -> (dxyr, (62.5, 70.5>)))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((mspike, (mspike, (0.7000000000000001, 1.95>) -> (mspike, (0.7000000000000001, 1.95>)) AND (age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (62.5, 70.5>) -> (dxyr, (62.5, 70.5>)))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((age, (age, (62.5, 65.5>) -> (age, (74.5, inf))))
((mspike, (mspike, (1.95, inf)) -> (mspike, (0.7000000000000001, 1.95>)) AND (age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (62.5, 70.5>) -> (dxyr, (62.5, 70.5>)))
((age, (age, (62.5, 65.5>) -> (age, (74.5, inf))))
((age, (age, (65.5, 74.5>) -> (age, (74.5, inf))))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
((mspike, (mspike, (1.95, inf)) -> (mspike, (0.7000000000000001, 1.95>)) AND (age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)) AND (dxyr, (dxyr, (62.5, 70.5>) -> (dxyr, (62.5, 70.5>)))
((age, (age, (55.5, 62.5>) -> (age, (74.5, inf))))
((age, (age, (-inf, 55.5>) -> (age, (74.5, inf))))
