((pressureInd, (pressureInd, (82.47111634570625, 95.72711985342764>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (82.47111634570625, 95.72711985342764>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (64.9101808929815, 73.67604199811485>) -> (pressureInd, (75.66673329804391, 79.16093327698005>)))
((pressureInd, (pressureInd, (97.9695000827999, 100.7730497699385>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (96.2255746919588, 97.9695000827999>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (64.9101808929815, 73.67604199811485>) -> (pressureInd, (75.66673329804391, 79.16093327698005>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (82.47111634570625, 95.72711985342764>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (100.7730497699385, 103.7221861171135>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (100.7730497699385, 103.7221861171135>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (97.9695000827999, 100.7730497699385>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (95.72711985342764, 96.07315063915534>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (64.9101808929815, 73.67604199811485>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (64.9101808929815, 73.67604199811485>) -> (pressureInd, (75.66673329804391, 79.16093327698005>)))
((pressureInd, (pressureInd, (100.7730497699385, 103.7221861171135>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (79.3809622983257, 81.0032519754738>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (96.2255746919588, 97.9695000827999>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (82.47111634570625, 95.72711985342764>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (82.47111634570625, 95.72711985342764>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (81.0032519754738, 82.47111634570625>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (82.47111634570625, 95.72711985342764>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (81.0032519754738, 82.47111634570625>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (82.47111634570625, 95.72711985342764>) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (44.3283632390594, 63.7243557148634>) -> (pressureInd, (75.66673329804391, 79.16093327698005>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (103.7895836982815, inf)) -> (pressureInd, (44.3283632390594, 63.7243557148634>)))
((pressureInd, (pressureInd, (64.9101808929815, 73.67604199811485>) -> (pressureInd, (75.66673329804391, 79.16093327698005>)))
