attribute,value
pnodes,"(-inf, 1.5>"
pnodes,"(1.5, 3.5>"
pnodes,"(3.5, 4.5>"
pnodes,"(4.5, 9.5>"
pnodes,"(9.5, inf)"
progrec,"(-inf, 0.5>"
progrec,"(0.5, 9.0>"
progrec,"(9.0, 9.5>"
progrec,"(9.5, 11.5>"
progrec,"(11.5, 16.5>"
progrec,"(16.5, 18.5>"
progrec,"(18.5, 19.5>"
progrec,"(19.5, 21.0>"
progrec,"(21.0, 24.5>"
progrec,"(24.5, 31.5>"
progrec,"(31.5, 32.5>"
progrec,"(32.5, 41.5>"
progrec,"(41.5, 53.5>"
progrec,"(53.5, 54.0>"
progrec,"(54.0, 54.5>"
progrec,"(54.5, 55.5>"
progrec,"(55.5, 103.5>"
progrec,"(103.5, 210.0>"
progrec,"(210.0, 406.5>"
progrec,"(406.5, 427.0>"
progrec,"(427.0, 1545.0>"
progrec,"(1545.0, inf)"
estrec,"(-inf, 1.0>"
estrec,"(1.0, 3.5>"
estrec,"(3.5, 4.5>"
estrec,"(4.5, 5.5>"
estrec,"(5.5, 11.0>"
estrec,"(11.0, 41.5>"
estrec,"(41.5, 78.0>"
estrec,"(78.0, 81.5>"
estrec,"(81.5, 131.5>"
estrec,"(131.5, 305.5>"
estrec,"(305.5, 317.0>"
estrec,"(317.0, 574.0>"
estrec,"(574.0, 605.0>"
estrec,"(605.0, 638.0>"
estrec,"(638.0, 664.5>"
estrec,"(664.5, 926.0>"
estrec,"(926.0, inf)"
age,"(-inf, 29.5>"
age,"(29.5, 36.5>"
age,"(36.5, 37.5>"
age,"(37.5, 39.5>"
age,"(39.5, 40.5>"
age,"(40.5, 41.0>"
age,"(41.0, 42.0>"
age,"(42.0, 42.5>"
age,"(42.5, 64.5>"
age,"(64.5, 74.5>"
age,"(74.5, 77.0>"
age,"(77.0, inf)"
tsize,"(-inf, 5.0>"
tsize,"(5.0, 7.5>"
tsize,"(7.5, 14.5>"
tsize,"(14.5, 19.5>"
tsize,"(19.5, 20.5>"
tsize,"(20.5, 49.5>"
tsize,"(49.5, 55.5>"
tsize,"(55.5, 59.0>"
tsize,"(59.0, inf)"
