attribute,value
sysbp,"(-inf, 84.5>"
sysbp,"(84.5, 178.5>"
sysbp,"(178.5, 207.5>"
sysbp,"(207.5, 208.5>"
sysbp,"(208.5, inf)"
hr,"(-inf, 35.5>"
hr,"(35.5, 40.0>"
hr,"(40.0, 49.5>"
hr,"(49.5, 61.0>"
hr,"(61.0, 61.5>"
hr,"(61.5, 67.5>"
hr,"(67.5, 68.5>"
hr,"(68.5, 86.5>"
hr,"(86.5, 118.0>"
hr,"(118.0, 119.5>"
hr,"(119.5, 125.5>"
hr,"(125.5, 133.0>"
hr,"(133.0, inf)"
age,"(-inf, 51.5>"
age,"(51.5, 71.5>"
age,"(71.5, 72.5>"
age,"(72.5, 73.5>"
age,"(73.5, 77.5>"
age,"(77.5, 83.5>"
age,"(83.5, 85.5>"
age,"(85.5, 95.0>"
age,"(95.0, inf)"
bmi,"(-inf, 16.572635>"
bmi,"(16.572635, 18.822625000000002>"
bmi,"(18.822625000000002, 18.841839999999998>"
bmi,"(18.841839999999998, 26.817725>"
bmi,"(26.817725, 27.65447>"
bmi,"(27.65447, 27.67037>"
bmi,"(27.67037, 28.31215>"
bmi,"(28.31215, 28.527965000000002>"
bmi,"(28.527965000000002, 29.550220000000003>"
bmi,"(29.550220000000003, 39.794835>"
bmi,"(39.794835, 40.89478>"
bmi,"(40.89478, inf)"
diasbp,"(-inf, 13.0>"
diasbp,"(13.0, 49.0>"
diasbp,"(49.0, 54.5>"
diasbp,"(54.5, 86.5>"
diasbp,"(86.5, 87.0>"
diasbp,"(87.0, 101.5>"
diasbp,"(101.5, 102.0>"
diasbp,"(102.0, 119.0>"
diasbp,"(119.0, 128.0>"
diasbp,"(128.0, inf)"
av3,"(-inf, 0.5>"
av3,"(0.5, inf)"
