attribute,value
pressureInd,"(-inf, 34.6227596835854>"
pressureInd,"(34.6227596835854, 35.21956794620935>"
pressureInd,"(35.21956794620935, 37.87238309671105>"
pressureInd,"(37.87238309671105, 44.3283632390594>"
pressureInd,"(44.3283632390594, 63.7243557148634>"
pressureInd,"(63.7243557148634, 64.9101808929815>"
pressureInd,"(64.9101808929815, 73.67604199811485>"
pressureInd,"(73.67604199811485, 75.56603559883955>"
pressureInd,"(75.56603559883955, 75.66673329804391>"
pressureInd,"(75.66673329804391, 79.16093327698005>"
pressureInd,"(79.16093327698005, 79.3809622983257>"
pressureInd,"(79.3809622983257, 81.0032519754738>"
pressureInd,"(81.0032519754738, 82.47111634570625>"
pressureInd,"(82.47111634570625, 95.72711985342764>"
pressureInd,"(95.72711985342764, 96.07315063915534>"
pressureInd,"(96.07315063915534, 96.1722299815405>"
pressureInd,"(96.1722299815405, 96.2255746919588>"
pressureInd,"(96.2255746919588, 97.9695000827999>"
pressureInd,"(97.9695000827999, 100.7730497699385>"
pressureInd,"(100.7730497699385, 103.7221861171135>"
pressureInd,"(103.7221861171135, 103.7895836982815>"
pressureInd,"(103.7895836982815, inf)"
temperatureInd,"(-inf, 56.35274373079705>"
temperatureInd,"(56.35274373079705, 59.8509791337182>"
temperatureInd,"(59.8509791337182, 60.920449067866144>"
temperatureInd,"(60.920449067866144, 61.58767430551785>"
temperatureInd,"(61.58767430551785, 68.84095448119629>"
temperatureInd,"(68.84095448119629, 69.87737703750815>"
temperatureInd,"(69.87737703750815, 71.16854223995466>"
temperatureInd,"(71.16854223995466, 80.95032074364045>"
temperatureInd,"(80.95032074364045, 85.7392499001082>"
temperatureInd,"(85.7392499001082, 86.05236219982311>"
temperatureInd,"(86.05236219982311, 86.1280346786989>"
temperatureInd,"(86.1280346786989, 93.5029027640409>"
temperatureInd,"(93.5029027640409, 100.59227678017251>"
temperatureInd,"(100.59227678017251, 104.0315707797685>"
temperatureInd,"(104.0315707797685, 106.0483655578025>"
temperatureInd,"(106.0483655578025, 106.15226501309951>"
temperatureInd,"(106.15226501309951, 106.255674706545>"
temperatureInd,"(106.255674706545, 106.55180388748451>"
temperatureInd,"(106.55180388748451, 106.5919562421175>"
temperatureInd,"(106.5919562421175, 108.7302504104445>"
temperatureInd,"(108.7302504104445, 109.6365261554565>"
temperatureInd,"(109.6365261554565, 117.962770304905>"
temperatureInd,"(117.962770304905, 120.92067477979549>"
temperatureInd,"(120.92067477979549, 129.917033267359>"
temperatureInd,"(129.917033267359, 130.9356983898125>"
temperatureInd,"(130.9356983898125, 136.7211311604855>"
temperatureInd,"(136.7211311604855, 140.4553031168055>"
temperatureInd,"(140.4553031168055, 141.9599569969905>"
temperatureInd,"(141.9599569969905, 142.42774835234752>"
temperatureInd,"(142.42774835234752, inf)"
moistureInd,"(-inf, 64.73805800733714>"
moistureInd,"(64.73805800733714, 70.0163526766486>"
moistureInd,"(70.0163526766486, 83.82693920372>"
moistureInd,"(83.82693920372, 85.8693602190262>"
moistureInd,"(85.8693602190262, 86.23719224609874>"
moistureInd,"(86.23719224609874, 89.37929117928749>"
moistureInd,"(89.37929117928749, 89.76055326500165>"
moistureInd,"(89.76055326500165, 91.59547920705691>"
moistureInd,"(91.59547920705691, 91.9914429808567>"
moistureInd,"(91.9914429808567, 92.01587994815665>"
moistureInd,"(92.01587994815665, 94.83530241811701>"
moistureInd,"(94.83530241811701, 94.88256681656941>"
moistureInd,"(94.88256681656941, 97.58930241474275>"
moistureInd,"(97.58930241474275, 109.767605837786>"
moistureInd,"(109.767605837786, 110.437114814551>"
moistureInd,"(110.437114814551, 115.14297215675>"
moistureInd,"(115.14297215675, 119.8410200322055>"
moistureInd,"(119.8410200322055, inf)"
