((SensorMeasure7, (SensorMeasure7, (138.035, 335.785>) -> (SensorMeasure7, (138.035, 335.785>)) AND (SensorMeasure12, (SensorMeasure12, (164.975, 521.5699999999999>) -> (SensorMeasure12, (-inf, 130.85500000000002>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, 13.655000000000001>) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, 1247.205>) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure7, (SensorMeasure7, (138.035, 335.785>) -> (SensorMeasure7, (138.035, 335.785>)) AND (SensorMeasure12, (SensorMeasure12, (130.85500000000002, 164.975>) -> (SensorMeasure12, (-inf, 130.85500000000002>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, 13.655000000000001>) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure7, (SensorMeasure7, (138.035, 335.785>) -> (SensorMeasure7, (138.035, 335.785>)) AND (SensorMeasure12, (SensorMeasure12, (164.975, 521.5699999999999>) -> (SensorMeasure12, (-inf, 130.85500000000002>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, 13.655000000000001>) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, 1247.205>) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure7, (SensorMeasure7, (138.035, 335.785>) -> (SensorMeasure7, (138.035, 335.785>)) AND (SensorMeasure12, (SensorMeasure12, (130.85500000000002, 164.975>) -> (SensorMeasure12, (-inf, 130.85500000000002>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, 13.655000000000001>) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure7, (SensorMeasure7, (335.785, inf)) -> (SensorMeasure7, (138.035, 335.785>)) AND (SensorMeasure12, (SensorMeasure12, (521.5699999999999, inf)) -> (SensorMeasure12, (-inf, 130.85500000000002>)) AND (SensorMeasure6, (SensorMeasure6, (13.655000000000001, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure7, (SensorMeasure7, (335.785, inf)) -> (SensorMeasure7, (138.035, 335.785>)) AND (SensorMeasure12, (SensorMeasure12, (164.975, 521.5699999999999>) -> (SensorMeasure12, (-inf, 130.85500000000002>)) AND (SensorMeasure6, (SensorMeasure6, (13.655000000000001, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure7, (SensorMeasure7, (138.035, 335.785>) -> (SensorMeasure7, (138.035, 335.785>)) AND (SensorMeasure12, (SensorMeasure12, (164.975, 521.5699999999999>) -> (SensorMeasure12, (-inf, 130.85500000000002>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, 13.655000000000001>) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure7, (SensorMeasure7, (335.785, inf)) -> (SensorMeasure7, (138.035, 335.785>)) AND (SensorMeasure12, (SensorMeasure12, (521.5699999999999, inf)) -> (SensorMeasure12, (-inf, 130.85500000000002>)) AND (SensorMeasure6, (SensorMeasure6, (13.655000000000001, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1252.135, inf)) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure7, (SensorMeasure7, (138.035, 335.785>) -> (SensorMeasure7, (138.035, 335.785>)) AND (SensorMeasure12, (SensorMeasure12, (130.85500000000002, 164.975>) -> (SensorMeasure12, (-inf, 130.85500000000002>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, 13.655000000000001>) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure7, (SensorMeasure7, (138.035, 335.785>) -> (SensorMeasure7, (138.035, 335.785>)) AND (SensorMeasure12, (SensorMeasure12, (164.975, 521.5699999999999>) -> (SensorMeasure12, (-inf, 130.85500000000002>)) AND (SensorMeasure6, (SensorMeasure6, (13.655000000000001, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1129.4299999999998, 1247.205>) -> (SensorMeasure4, (-inf, 1127.985>)))
((SensorMeasure7, (SensorMeasure7, (138.035, 335.785>) -> (SensorMeasure7, (138.035, 335.785>)) AND (SensorMeasure12, (SensorMeasure12, (130.85500000000002, 164.975>) -> (SensorMeasure12, (-inf, 130.85500000000002>)) AND (SensorMeasure6, (SensorMeasure6, (-inf, 5.715>) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (-inf, 1127.985>)))
