id,p
0,1.000000
1,1.000000
2,1.000000
3,1.000000
4,1.000000
5,1.000000
6,1.000000
7,1.000000
8,1.000000
9,1.000000
10,1.000000
11,1.000000
12,1.000000
13,1.000000
14,1.000000
15,1.000000
16,1.000000
17,1.000000
18,1.000000
19,1.000000
20,1.000000
21,1.000000
22,1.000000
23,1.000000
24,1.000000
25,1.000000
26,1.000000
27,1.000000
28,1.000000
29,1.000000
30,0.003233
31,0.523639
32,0.523639
33,0.003233
34,1.000000
35,0.019723
36,0.019723
37,0.523639
38,0.019723
39,0.019723
40,0.019723
41,0.019723
42,0.019723
