id,left,right
0,63,21
1,78,27
2,260,21
3,303,24
4,68,21
5,260,21
6,23,24
7,60,24
8,27,21
9,63,21
10,211,31
11,260,21
12,59,21
13,59,21
14,50,21
15,6,23
16,63,21
17,260,21
18,260,21
19,260,21
20,260,21
21,63,21
22,182,27
23,8,24
24,13,20
25,17,21
26,60,24
27,0,21
28,260,21
29,63,21
30,260,21
31,43,21
32,0,21
33,17,21
34,260,21
35,260,21
36,68,21
37,260,21
38,11,21
39,7,24
40,50,21
41,260,21
42,303,24
43,9,24
44,303,24
45,260,21
46,260,21
47,260,21
48,27,21
49,0,21
50,59,21
51,303,24
52,21,21
53,260,21
54,303,24
55,303,24
56,260,21
57,303,24
58,21,21
59,68,21
60,260,21
61,59,21
62,60,24
63,60,24
64,6,23
65,260,21
66,260,21
67,23,24
68,63,21
69,60,24
70,260,21
71,2,24
72,23,24
73,303,24
74,260,21
75,260,21
76,260,21
77,50,21
78,17,21
79,27,21
80,63,21
81,260,21
82,27,21
83,30,24
84,10,21
85,182,20
86,60,24
