attribute,value
SensorMeasure2,"(-inf, 536.36>"
SensorMeasure2,"(536.36, 604.52>"
SensorMeasure2,"(604.52, inf)"
SensorMeasure13,"(-inf, 2387.9849999999997>"
SensorMeasure13,"(2387.9849999999997, 2388.0150000000003>"
SensorMeasure13,"(2388.0150000000003, 2388.0550000000003>"
SensorMeasure13,"(2388.0550000000003, 2388.085>"
SensorMeasure13,"(2388.085, inf)"
SensorMeasure3,"(-inf, 1254.7150000000001>"
SensorMeasure3,"(1254.7150000000001, 1358.18>"
SensorMeasure3,"(1358.18, 1477.9899999999998>"
SensorMeasure3,"(1477.9899999999998, 1494.4899999999998>"
SensorMeasure3,"(1494.4899999999998, 1597.1799999999998>"
SensorMeasure3,"(1597.1799999999998, inf)"
SensorMeasure11,"(-inf, 36.504999999999995>"
SensorMeasure11,"(36.504999999999995, 47.615>"
SensorMeasure11,"(47.615, inf)"
SensorMeasure8,"(-inf, 1915.2350000000001>"
SensorMeasure8,"(1915.2350000000001, 1915.2849999999999>"
SensorMeasure8,"(1915.2849999999999, 2318.875>"
SensorMeasure8,"(2318.875, 2324.005>"
SensorMeasure8,"(2324.005, inf)"
SensorMeasure9,"(-inf, 9058.79>"
SensorMeasure9,"(9058.79, 9063.33>"
SensorMeasure9,"(9063.33, inf)"
SensorMeasure17,"(-inf, 393.5>"
SensorMeasure17,"(393.5, inf)"
OpSet2,"(-inf, 0.84135>"
OpSet2,"(0.84135, inf)"
SensorMeasure21,"(-inf, 6.3848>"
SensorMeasure21,"(6.3848, 6.46695>"
SensorMeasure21,"(6.46695, 14.847999999999999>"
SensorMeasure21,"(14.847999999999999, 23.49055>"
SensorMeasure21,"(23.49055, inf)"
SensorMeasure6,"(-inf, 13.645>"
SensorMeasure6,"(13.645, inf)"
OpSet1,"(-inf, 42.00135>"
OpSet1,"(42.00135, inf)"
SensorMeasure7,"(-inf, 139.17000000000002>"
SensorMeasure7,"(139.17000000000002, 554.645>"
SensorMeasure7,"(554.645, inf)"
SensorMeasure14,"(-inf, 8135.735000000001>"
SensorMeasure14,"(8135.735000000001, inf)"
SensorMeasure4,"(-inf, 1036.795>"
SensorMeasure4,"(1036.795, inf)"
SensorMeasure15,"(-inf, 10.86725>"
SensorMeasure15,"(10.86725, 10.89535>"
SensorMeasure15,"(10.89535, inf)"
