((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (14.2, 16.35>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (55.5, 62.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (55.5, 62.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (14.2, 16.35>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (74.5, inf)) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (62.5, 65.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)) AND (dxyr, (dxyr, (60.5, 70.5>) -> (dxyr, (60.5, 70.5>)))
((age, (age, (-inf, 55.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)) AND (dxyr, (dxyr, (60.5, 70.5>) -> (dxyr, (60.5, 70.5>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.05, 11.25>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((mspike, (mspike, (0.7000000000000001, 2.3499999999999996>) -> (mspike, (0.7000000000000001, 2.3499999999999996>)) AND (age, (age, (-inf, 55.5>) -> (age, (74.5, inf))) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (55.5, 62.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (-inf, 11.05>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (62.5, 65.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((mspike, (mspike, (0.7000000000000001, 2.3499999999999996>) -> (mspike, (0.7000000000000001, 2.3499999999999996>)) AND (age, (age, (55.5, 62.5>) -> (age, (74.5, inf))) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (14.149999999999999, 14.2>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (55.5, 62.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (-inf, 11.05>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (-inf, 55.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (-inf, 11.05>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (55.5, 62.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.05, 11.25>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (62.5, 65.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (14.2, 16.35>) -> (hgb, (11.350000000000001, 14.149999999999999>)) AND (dxyr, (dxyr, (60.5, 70.5>) -> (dxyr, (60.5, 70.5>)))
((age, (age, (-inf, 55.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (-inf, 11.05>) -> (hgb, (11.350000000000001, 14.149999999999999>)) AND (dxyr, (dxyr, (60.5, 70.5>) -> (dxyr, (60.5, 70.5>)))
((age, (age, (65.5, 74.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (-inf, 11.05>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
((age, (age, (-inf, 55.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)) AND (dxyr, (dxyr, (60.5, 70.5>) -> (dxyr, (60.5, 70.5>)))
((age, (age, (-inf, 55.5>) -> (age, (-inf, 55.5>)) AND (hgb, (hgb, (11.350000000000001, 14.149999999999999>) -> (hgb, (11.350000000000001, 14.149999999999999>)))
