((age, (age, (74.5, 77.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (28.255029999999998, 29.067965>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (15.19482, 18.686999999999998>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (19.187089999999998, 23.298195>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (74.5, 77.5>)) AND (diasbp, (diasbp, (87.0, 101.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (-inf, 52.5>) -> (age, (74.5, 77.5>)) AND (diasbp, (diasbp, (87.0, 101.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (25.595425, 26.573935>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (49.0, 87.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (26.9063, 28.255029999999998>) -> (bmi, (29.067965, 40.89478>)))
((diasbp, (diasbp, (49.0, 87.0>) -> (diasbp, (103.5, 116.0>)))
((age, (age, (73.5, 74.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (19.187089999999998, 23.298195>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (49.0, 87.0>) -> (diasbp, (49.0, 87.0>)))
((hr, (hr, (39.0, 51.0>) -> (hr, (51.0, 61.5>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (23.298195, 25.595425>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (103.5, 116.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (73.5, 74.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (19.187089999999998, 23.298195>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (29.067965, 40.89478>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (23.298195, 25.595425>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (85.5, 95.0>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (23.298195, 25.595425>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (28.255029999999998, 29.067965>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (83.5, 85.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (29.067965, 40.89478>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (29.067965, 40.89478>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (29.067965, 40.89478>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (103.5, 116.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (-inf, 52.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (49.0, 87.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (74.5, 77.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (26.9063, 28.255029999999998>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (29.067965, 40.89478>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (74.5, 77.5>)) AND (diasbp, (diasbp, (49.0, 87.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (-inf, 52.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (87.0, 101.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (74.5, 77.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (23.298195, 25.595425>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (29.067965, 40.89478>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (69.5, 71.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (29.067965, 40.89478>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (74.5, 77.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (87.0, 101.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (19.187089999999998, 23.298195>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (49.0, 87.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (69.5, 71.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (49.0, 87.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (-inf, 52.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (18.0, 49.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (52.5, 69.5>) -> (age, (74.5, 77.5>)) AND (diasbp, (diasbp, (87.0, 101.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (52.5, 69.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (15.19482, 18.686999999999998>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (-inf, 52.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (87.0, 101.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (83.5, 85.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (29.067965, 40.89478>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (74.5, 77.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (19.187089999999998, 23.298195>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (23.298195, 25.595425>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (87.0, 101.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (52.5, 69.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (87.0, 101.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (52.5, 69.5>) -> (age, (74.5, 77.5>)) AND (diasbp, (diasbp, (87.0, 101.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (-inf, 52.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (49.0, 87.0>) -> (diasbp, (49.0, 87.0>)))
((age, (age, (-inf, 52.5>) -> (age, (74.5, 77.5>)) AND (diasbp, (diasbp, (87.0, 101.0>) -> (diasbp, (49.0, 87.0>)))
((diasbp, (diasbp, (49.0, 87.0>) -> (diasbp, (103.5, 116.0>)))
((age, (age, (74.5, 77.5>) -> (age, (-inf, 52.5>)) AND (bmi, (bmi, (23.298195, 25.595425>) -> (bmi, (29.067965, 40.89478>)))
((age, (age, (52.5, 69.5>) -> (age, (74.5, 77.5>)) AND (diasbp, (diasbp, (49.0, 87.0>) -> (diasbp, (49.0, 87.0>)))
