attribute,value
SHO,"(-inf, 0.5>"
SHO,"(0.5, inf)"
CHF,"(-inf, 0.5>"
CHF,"(0.5, inf)"
CPK,"(-inf, 25.0>"
CPK,"(25.0, 37.5>"
CPK,"(37.5, 47.0>"
CPK,"(47.0, 92.0>"
CPK,"(92.0, 939.5>"
CPK,"(939.5, 4046.5>"
CPK,"(4046.5, 4115.5>"
CPK,"(4115.5, 4600.0>"
CPK,"(4600.0, 4710.0>"
CPK,"(4710.0, 4950.0>"
CPK,"(4950.0, inf)"
AGE,"(-inf, 26.0>"
AGE,"(26.0, 28.5>"
AGE,"(28.5, 30.5>"
AGE,"(30.5, 66.5>"
AGE,"(66.5, 67.5>"
AGE,"(67.5, 68.5>"
AGE,"(68.5, 69.5>"
AGE,"(69.5, 75.5>"
AGE,"(75.5, 76.5>"
AGE,"(76.5, 78.5>"
AGE,"(78.5, 85.5>"
AGE,"(85.5, 90.5>"
AGE,"(90.5, 94.0>"
AGE,"(94.0, 94.5>"
AGE,"(94.5, inf)"
