((diasbp, (diasbp, (49.0, 54.5>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (51.5, 71.5>) -> (age, (-inf, 51.5>)))
((diasbp, (diasbp, (54.5, 86.5>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (51.5, 71.5>) -> (age, (-inf, 51.5>)))
((diasbp, (diasbp, (87.0, 101.5>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (51.5, 71.5>) -> (age, (85.5, 95.0>)))
((diasbp, (diasbp, (102.0, 119.0>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (51.5, 71.5>) -> (age, (85.5, 95.0>)))
((diasbp, (diasbp, (87.0, 101.5>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (-inf, 51.5>) -> (age, (-inf, 51.5>)))
((diasbp, (diasbp, (54.5, 86.5>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (73.5, 77.5>) -> (age, (-inf, 51.5>)))
((diasbp, (diasbp, (102.0, 119.0>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (73.5, 77.5>) -> (age, (-inf, 51.5>)))
((diasbp, (diasbp, (54.5, 86.5>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (77.5, 83.5>) -> (age, (-inf, 51.5>)))
((diasbp, (diasbp, (86.5, 87.0>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (73.5, 77.5>) -> (age, (-inf, 51.5>)))
((diasbp, (diasbp, (54.5, 86.5>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (51.5, 71.5>) -> (age, (-inf, 51.5>)))
((diasbp, (diasbp, (54.5, 86.5>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (73.5, 77.5>) -> (age, (-inf, 51.5>)))
((diasbp, (diasbp, (54.5, 86.5>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (83.5, 85.5>) -> (age, (-inf, 51.5>)))
((diasbp, (diasbp, (87.0, 101.5>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (51.5, 71.5>) -> (age, (85.5, 95.0>)))
((diasbp, (diasbp, (13.0, 49.0>) -> (diasbp, (54.5, 86.5>)) AND (age, (age, (77.5, 83.5>) -> (age, (-inf, 51.5>)))
