id,p
0,0.000000
1,0.000000
2,0.000000
3,0.000072
4,0.985120
5,0.000000
6,0.000000
7,0.985120
8,0.000000
9,0.000000
10,0.985120
11,0.000000
12,0.000000
13,1.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.999600
19,0.000000
20,0.000000
21,0.000000
22,0.985120
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000072
28,0.000072
29,0.000000
30,0.000072
31,0.000000
32,0.000000
33,0.000000
34,0.985120
35,0.999600
36,0.985120
37,0.000072
38,0.000072
39,0.985120
40,0.985120
41,0.985120
42,0.000000
43,0.000000
44,0.985120
45,0.000072
46,0.000000
47,0.000000
48,0.000000
49,0.985120
50,0.000000
51,0.999600
52,1.000000
53,0.000072
54,0.000000
55,0.000072
56,0.000000
57,0.985120
58,0.985120
59,0.000000
60,0.000000
61,0.000000
62,0.000000
63,0.985120
64,0.000000
65,0.985120
66,0.985120
67,0.999600
68,0.985120
69,0.000000
70,0.000000
71,0.999600
72,0.000072
73,0.000000
74,0.000000
75,0.985120
76,0.985120
77,0.000072
78,0.999600
79,0.000000
80,0.985120
81,0.000072
82,0.985120
83,0.000000
84,0.000000
85,0.985120
86,0.985120
87,0.985120
88,0.985120
89,0.000000
90,0.999600
91,0.985120
92,0.000000
93,0.000000
94,0.999600
95,0.000000
96,0.985120
97,0.985120
98,0.985120
99,0.985120
100,0.985120
101,0.999600
102,0.985120
