((SensorMeasure20, (SensorMeasure20, (10.56, 14.97>) -> (SensorMeasure20, (14.97, 24.605>)) AND (SensorMeasure4, (SensorMeasure4, (1127.165, inf)) -> (SensorMeasure4, (1127.165, inf))) AND (SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure14, (SensorMeasure14, (8069.505, inf)) -> (SensorMeasure14, (-inf, 8064.91>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 5.715>) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure17, (SensorMeasure17, (332.5, 362.5>) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)))
((SensorMeasure20, (SensorMeasure20, (10.56, 14.97>) -> (SensorMeasure20, (14.97, 24.605>)) AND (SensorMeasure13, (SensorMeasure13, (2028.315, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, inf))))
((SensorMeasure20, (SensorMeasure20, (14.97, 24.605>) -> (SensorMeasure20, (14.97, 24.605>)) AND (SensorMeasure4, (SensorMeasure4, (-inf, 1126.31>) -> (SensorMeasure4, (1127.165, inf))) AND (SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure14, (SensorMeasure14, (8069.505, inf)) -> (SensorMeasure14, (-inf, 8064.91>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)))
((SensorMeasure4, (SensorMeasure4, (-inf, 1126.31>) -> (SensorMeasure4, (1127.165, inf))) AND (SensorMeasure17, (SensorMeasure17, (-inf, 332.5>) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)))
((SensorMeasure4, (SensorMeasure4, (-inf, 1126.31>) -> (SensorMeasure4, (1127.165, inf))) AND (SensorMeasure17, (SensorMeasure17, (-inf, 332.5>) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)))
((SensorMeasure20, (SensorMeasure20, (10.56, 14.97>) -> (SensorMeasure20, (14.97, 24.605>)) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2028.315>) -> (SensorMeasure13, (2388.0550000000003, inf))))
((SensorMeasure20, (SensorMeasure20, (10.56, 14.97>) -> (SensorMeasure20, (14.97, 24.605>)) AND (SensorMeasure13, (SensorMeasure13, (2388.0550000000003, inf)) -> (SensorMeasure13, (2388.0550000000003, inf))))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure4, (SensorMeasure4, (1127.165, inf)) -> (SensorMeasure4, (-inf, 1126.31>)) AND (SensorMeasure13, (SensorMeasure13, (2028.315, 2388.0550000000003>) -> (SensorMeasure13, (2028.315, 2388.0550000000003>)))
((SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)))
