id,left,right
0,187,30
1,156,23
2,7,30
3,448,23
4,448,23
5,3,25
6,6,30
7,448,23
8,397,22
9,65,49
10,23,23
11,122,23
12,7,25
13,397,49
14,397,49
15,41,23
16,96,22
17,448,23
18,448,23
19,283,22
20,21,30
21,397,49
22,156,23
23,397,39
24,20,25
25,22,39
26,397,49
27,122,23
28,448,23
29,30,25
30,10,30
31,23,23
32,448,23
33,283,49
34,49,23
35,218,24
36,39,49
37,49,23
38,283,22
39,156,26
40,1,20
41,1,21
42,448,23
43,283,22
44,283,39
45,448,23
46,397,49
47,448,23
48,26,23
49,397,49
50,65,22
51,22,22
52,283,49
53,20,30
54,49,39
55,17,22
56,5,25
57,96,49
58,397,39
59,6,130
60,122,23
61,70,23
62,448,23
63,448,23
64,187,130
65,397,22
66,96,22
67,448,23
68,397,22
69,397,49
70,448,23
71,3,25
72,0,25
73,65,49
74,397,22
75,397,49
76,4,20
77,448,23
78,397,22
79,34,25
80,26,26
81,448,23
82,448,23
83,13,30
84,156,23
85,187,30
86,96,39
87,89,20
88,448,23
89,156,23
90,8,23
91,96,49
92,187,20
93,42,20
94,42,20
95,10,25
96,5,25
97,283,22
98,130,20
99,70,23
100,122,23
101,156,23
102,21,20
103,397,39
104,283,22
105,397,49
106,5,30
107,397,49
108,283,49
109,49,23
110,21,30
111,448,23
112,397,22
113,22,22
114,283,22
