((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (134.47372677852752, 148.9434392358805>)))
((temperatureInd, (temperatureInd, (102.176174470408, 103.50791781370751>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((moistureInd, (moistureInd, (96.17391123222075, 103.50238577581251>) -> (moistureInd, (110.432743415048, 112.6262502775635>)))
((moistureInd, (moistureInd, (103.50238577581251, 108.181203311611>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((moistureInd, (moistureInd, (89.53012727291164, 93.5324139906568>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((moistureInd, (moistureInd, (96.17391123222075, 103.50238577581251>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((temperatureInd, (temperatureInd, (112.706363973005, 117.95997533120399>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((moistureInd, (moistureInd, (103.50238577581251, 108.181203311611>) -> (moistureInd, (110.432743415048, 112.6262502775635>)))
((moistureInd, (moistureInd, (110.432743415048, 112.6262502775635>) -> (moistureInd, (110.432743415048, 112.6262502775635>)))
((moistureInd, (moistureInd, (112.887327877389, 115.3848226536305>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((moistureInd, (moistureInd, (89.53012727291164, 93.5324139906568>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((moistureInd, (moistureInd, (108.295338568978, 109.641343946427>) -> (moistureInd, (110.432743415048, 112.6262502775635>)))
((moistureInd, (moistureInd, (117.55814011946549, 120.08907851859351>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((moistureInd, (moistureInd, (89.53012727291164, 93.5324139906568>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((temperatureInd, (temperatureInd, (106.5498412103765, 109.533254868705>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((moistureInd, (moistureInd, (96.17391123222075, 103.50238577581251>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((moistureInd, (moistureInd, (89.53012727291164, 93.5324139906568>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((temperatureInd, (temperatureInd, (109.533254868705, 112.706363973005>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (109.533254868705, 112.706363973005>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((moistureInd, (moistureInd, (89.53012727291164, 93.5324139906568>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((temperatureInd, (temperatureInd, (52.9807920598129, 55.768785206515105>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((pressureInd, (pressureInd, (96.13050873403564, 99.4917412284709>) -> (pressureInd, (37.87238309671105, 61.288062354156494>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((pressureInd, (pressureInd, (75.72639237580645, 75.82199689309675>) -> (pressureInd, (37.87238309671105, 61.288062354156494>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (109.533254868705, 112.706363973005>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((moistureInd, (moistureInd, (89.53012727291164, 93.5324139906568>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((temperatureInd, (temperatureInd, (149.33358743994648, inf)) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (67.28323395306334, 85.7392499001082>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (123.835107454018, 130.55111994329252>) -> (temperatureInd, (118.051019180629, 121.17737006678999>)))
((temperatureInd, (temperatureInd, (102.176174470408, 103.50791781370751>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
