rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 6, 6, 4, 2.8958, 42.8571, 0.0000, 0.0000, 149.0000, 362.0000, -213.0000
r2, 5, 5, 1, 44.2085, 3.1853, 0.0000, 0.0000, 364.0000, 347.0000, 17.0000
r3, 4, 4, 3, 5.7915, 44.6911, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r4, 5, 5, 3, 6.3707, 44.3050, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r5, 3, 3, 1, 11.1004, 44.3050, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r6, 6, 5, 3, 6.7568, 41.3127, 0.0000, 0.0000, 342.0000, 362.0000, -20.0000
r7, 4, 4, 3, 8.3012, 44.6911, 0.0000, 0.0000, 347.0000, 364.0000, -17.0000
r8, 5, 5, 4, 14.9614, 44.6911, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r9, 4, 4, 2, 11.5830, 44.3050, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r10, 4, 4, 2, 16.6988, 44.3050, 0.0000, 0.0000, 349.0000, 364.0000, -15.0000
r11, 4, 4, 2, 27.4131, 44.3050, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r12, 5, 4, 2, 28.1853, 42.9537, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r13, 4, 4, 3, 10.2317, 44.6911, 0.0000, 0.0000, 353.0000, 364.0000, -11.0000
r14, 3, 3, 2, 17.4710, 44.6911, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r15, 2, 2, 1, 25.1931, 44.6911, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r16, 5, 4, 2, 21.3320, 41.5058, 0.0000, 0.0000, 354.0000, 362.0000, -8.0000
r17, 3, 3, 1, 43.7259, 44.3050, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r18, 2, 2, 0, 43.7259, 2.9923, 0.0000, 0.0000, 364.0000, 333.0000, 31.0000
r19, 1, 1, 0, 49.7104, 44.6911, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
