time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, r19_l, r19_r, 
1.0, 0.999035, 1.000000, 1.000000, 1.000000, 0.969697, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.985714, 1.000000, 0.988372, 1.000000, 0.993548, 1.000000, 0.991667, 1.000000, 0.994220, 1.000000, 0.996479, 1.000000, 0.996575, 1.000000, 0.990566, 1.000000, 0.994475, 1.000000, 0.996169, 1.000000, 0.995475, 1.000000, 0.997792, 1.000000, 1.000000, 0.967742, 0.998058, 1.000000, 
2.0, 0.998068, 1.000000, 1.000000, 1.000000, 0.969697, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.985714, 1.000000, 0.988372, 1.000000, 0.993548, 1.000000, 0.991667, 1.000000, 0.994220, 1.000000, 0.996479, 1.000000, 0.996575, 1.000000, 0.990566, 1.000000, 0.988950, 1.000000, 0.992337, 1.000000, 0.990950, 1.000000, 0.995585, 1.000000, 1.000000, 0.967742, 0.996117, 1.000000, 
3.0, 0.998068, 1.000000, 1.000000, 1.000000, 0.969697, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.985714, 1.000000, 0.988372, 1.000000, 0.993548, 1.000000, 0.991667, 1.000000, 0.994220, 1.000000, 0.996479, 1.000000, 0.996575, 1.000000, 0.990566, 1.000000, 0.988950, 1.000000, 0.992337, 1.000000, 0.990950, 1.000000, 0.995585, 1.000000, 1.000000, 0.967742, 0.996117, 1.000000, 
4.0, 0.998068, 1.000000, 1.000000, 1.000000, 0.969697, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.985714, 1.000000, 0.988372, 1.000000, 0.993548, 1.000000, 0.991667, 1.000000, 0.994220, 1.000000, 0.996479, 1.000000, 0.996575, 1.000000, 0.990566, 1.000000, 0.988950, 1.000000, 0.992337, 1.000000, 0.990950, 1.000000, 0.995585, 1.000000, 1.000000, 0.967742, 0.996117, 1.000000, 
7.0, 0.995158, 1.000000, 1.000000, 1.000000, 0.969697, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.985714, 1.000000, 0.988372, 1.000000, 0.993548, 1.000000, 0.991667, 1.000000, 0.994220, 1.000000, 0.996479, 1.000000, 0.996575, 1.000000, 0.981132, 1.000000, 0.977901, 1.000000, 0.984674, 1.000000, 0.981900, 1.000000, 0.991170, 1.000000, 1.000000, 0.935484, 0.990280, 1.000000, 
9.0, 0.994188, 0.966667, 1.000000, 1.000000, 0.969697, 0.983333, 1.000000, 0.984848, 1.000000, 0.991304, 1.000000, 0.971429, 1.000000, 0.976744, 1.000000, 0.987097, 1.000000, 0.991667, 1.000000, 0.988439, 1.000000, 0.992958, 1.000000, 0.993151, 1.000000, 0.971698, 1.000000, 0.972376, 1.000000, 0.980843, 1.000000, 0.981900, 1.000000, 0.988962, 1.000000, 1.000000, 0.935484, 0.988334, 1.000000, 
10.0, 0.994188, 0.966667, 1.000000, 1.000000, 0.969697, 0.983333, 1.000000, 0.984848, 1.000000, 0.991304, 1.000000, 0.971429, 1.000000, 0.976744, 1.000000, 0.987097, 1.000000, 0.991667, 1.000000, 0.988439, 1.000000, 0.992958, 1.000000, 0.993151, 1.000000, 0.971698, 1.000000, 0.972376, 1.000000, 0.980843, 1.000000, 0.981900, 1.000000, 0.988962, 1.000000, 1.000000, 0.935484, 0.988334, 1.000000, 
11.0, 0.994188, 0.966667, 1.000000, 1.000000, 0.969697, 0.983333, 1.000000, 0.984848, 1.000000, 0.991304, 1.000000, 0.971429, 1.000000, 0.976744, 1.000000, 0.987097, 1.000000, 0.991667, 1.000000, 0.988439, 1.000000, 0.992958, 1.000000, 0.993151, 1.000000, 0.971698, 1.000000, 0.972376, 1.000000, 0.980843, 1.000000, 0.981900, 1.000000, 0.988962, 1.000000, 1.000000, 0.935484, 0.988334, 1.000000, 
13.0, 0.992244, 0.966667, 0.997722, 0.997792, 0.969697, 0.983333, 0.997817, 0.984848, 0.997797, 0.991304, 0.997797, 0.956930, 0.997636, 0.976744, 0.997817, 0.980603, 0.997817, 0.991667, 0.997797, 0.988439, 0.997797, 0.989424, 0.997797, 0.989714, 0.997727, 0.962172, 0.997817, 0.966819, 0.997817, 0.976996, 0.997817, 0.981900, 0.997647, 0.986750, 0.997797, 0.997768, 0.935484, 0.986385, 0.997817, 
14.0, 0.991272, 0.966667, 0.997722, 0.997792, 0.969697, 0.983333, 0.997817, 0.984848, 0.997797, 0.991304, 0.997797, 0.942431, 0.997636, 0.964976, 0.997817, 0.974109, 0.997817, 0.991667, 0.997797, 0.988439, 0.997797, 0.985890, 0.997797, 0.989714, 0.997727, 0.952645, 0.997817, 0.961263, 0.997817, 0.973150, 0.997817, 0.981900, 0.997647, 0.986750, 0.997797, 0.997768, 0.935484, 0.984436, 0.997817, 
