((SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (1128.135, inf))) AND (OpSet1, (OpSet1, (-inf, 35.0059>) -> (OpSet1, (-inf, 35.0059>)) AND (SensorMeasure7, (SensorMeasure7, (138.0, 335.675>) -> (SensorMeasure7, (138.0, 335.675>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8053.455>) -> (SensorMeasure14, (8053.455, 8064.91>)))
((SensorMeasure3, (SensorMeasure3, (1257.25, 1352.8600000000001>) -> (SensorMeasure3, (1479.565, inf))) AND (SensorMeasure20, (SensorMeasure20, (-inf, 14.995000000000001>) -> (SensorMeasure20, (14.995000000000001, 24.59>)))
((SensorMeasure3, (SensorMeasure3, (1257.25, 1352.8600000000001>) -> (SensorMeasure3, (1479.565, inf))) AND (SensorMeasure20, (SensorMeasure20, (-inf, 14.995000000000001>) -> (SensorMeasure20, (14.995000000000001, 24.59>)))
((SensorMeasure4, (SensorMeasure4, (-inf, 1127.985>) -> (SensorMeasure4, (1128.135, inf))) AND (OpSet1, (OpSet1, (-inf, 35.0059>) -> (OpSet1, (-inf, 35.0059>)) AND (SensorMeasure7, (SensorMeasure7, (138.0, 335.675>) -> (SensorMeasure7, (138.0, 335.675>)) AND (SensorMeasure14, (SensorMeasure14, (-inf, 8053.455>) -> (SensorMeasure14, (8053.455, 8064.91>)))
((SensorMeasure3, (SensorMeasure3, (1479.565, inf)) -> (SensorMeasure3, (1479.565, inf))) AND (SensorMeasure20, (SensorMeasure20, (24.59, 38.894999999999996>) -> (SensorMeasure20, (14.995000000000001, 24.59>)))
((SensorMeasure4, (SensorMeasure4, (1128.135, inf)) -> (SensorMeasure4, (-inf, 1127.985>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure2, (SensorMeasure2, (604.98, 642.835>) -> (SensorMeasure2, (549.2, 555.4>)))
((SensorMeasure13, (SensorMeasure13, (-inf, 2028.355>) -> (SensorMeasure13, (2028.355, 2388.035>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure2, (SensorMeasure2, (536.8199999999999, 543.0550000000001>) -> (SensorMeasure2, (549.2, 555.4>)))
((SensorMeasure13, (SensorMeasure13, (-inf, 2028.355>) -> (SensorMeasure13, (2028.355, 2388.035>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure2, (SensorMeasure2, (536.8199999999999, 543.0550000000001>) -> (SensorMeasure2, (549.2, 555.4>)))
((SensorMeasure13, (SensorMeasure13, (2388.035, 2388.175>) -> (SensorMeasure13, (2028.355, 2388.035>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure2, (SensorMeasure2, (555.4, 604.98>) -> (SensorMeasure2, (549.2, 555.4>)))
((SensorMeasure13, (SensorMeasure13, (2388.035, 2388.175>) -> (SensorMeasure13, (2028.355, 2388.035>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure2, (SensorMeasure2, (604.98, 642.835>) -> (SensorMeasure2, (549.2, 555.4>)))
((SensorMeasure13, (SensorMeasure13, (2388.035, 2388.175>) -> (SensorMeasure13, (2028.355, 2388.035>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure2, (SensorMeasure2, (604.98, 642.835>) -> (SensorMeasure2, (549.2, 555.4>)))
((SensorMeasure4, (SensorMeasure4, (1128.135, inf)) -> (SensorMeasure4, (1128.135, inf))) AND (OpSet1, (OpSet1, (-inf, 35.0059>) -> (OpSet1, (-inf, 35.0059>)) AND (SensorMeasure7, (SensorMeasure7, (335.675, inf)) -> (SensorMeasure7, (138.0, 335.675>)) AND (SensorMeasure14, (SensorMeasure14, (8087.645, inf)) -> (SensorMeasure14, (8053.455, 8064.91>)))
((SensorMeasure3, (SensorMeasure3, (1352.8600000000001, 1477.0900000000001>) -> (SensorMeasure3, (1479.565, inf))) AND (SensorMeasure20, (SensorMeasure20, (14.995000000000001, 24.59>) -> (SensorMeasure20, (14.995000000000001, 24.59>)))
((SensorMeasure13, (SensorMeasure13, (2028.355, 2388.035>) -> (SensorMeasure13, (2028.355, 2388.035>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure2, (SensorMeasure2, (549.2, 555.4>) -> (SensorMeasure2, (549.2, 555.4>)))
((SensorMeasure13, (SensorMeasure13, (2388.035, 2388.175>) -> (SensorMeasure13, (2028.355, 2388.035>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure2, (SensorMeasure2, (604.98, 642.835>) -> (SensorMeasure2, (549.2, 555.4>)))
((SensorMeasure13, (SensorMeasure13, (2388.035, 2388.175>) -> (SensorMeasure13, (2028.355, 2388.035>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)) AND (SensorMeasure2, (SensorMeasure2, (555.4, 604.98>) -> (SensorMeasure2, (549.2, 555.4>)))
