((vagina, (vagina, (0.5, inf)) -> (vagina, (-inf, 0.5>)) AND (age, (age, (28.5, 34.0>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (28.5, 34.0>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (18.5, 19.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (16.5, 17.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (16.5, 17.5>) -> (age, (34.0, 43.5>)))
((age, (age, (19.5, 28.5>) -> (age, (-inf, 14.5>)))
((age, (age, (19.5, 28.5>) -> (age, (-inf, 14.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (17.5, 18.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (18.5, 19.5>) -> (age, (34.0, 43.5>)))
((age, (age, (19.5, 28.5>) -> (age, (-inf, 14.5>)))
((vagina, (vagina, (0.5, inf)) -> (vagina, (-inf, 0.5>)) AND (age, (age, (-inf, 14.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (14.5, 16.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (14.5, 16.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (18.5, 19.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (28.5, 34.0>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (14.5, 16.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (18.5, 19.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (17.5, 18.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (16.5, 17.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (0.5, inf)) -> (vagina, (-inf, 0.5>)) AND (age, (age, (28.5, 34.0>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (0.5, inf)) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (18.5, 19.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (18.5, 19.5>) -> (age, (34.0, 43.5>)))
((age, (age, (18.5, 19.5>) -> (age, (-inf, 14.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (16.5, 17.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (17.5, 18.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (14.5, 16.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (-inf, 14.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (28.5, 34.0>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (17.5, 18.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (0.5, inf)) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (0.5, inf)) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (16.5, 17.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (14.5, 16.5>) -> (age, (34.0, 43.5>)))
((age, (age, (34.0, 43.5>) -> (age, (-inf, 14.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (34.0, 43.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (28.5, 34.0>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (14.5, 16.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (0.5, inf)) -> (vagina, (-inf, 0.5>)) AND (age, (age, (16.5, 17.5>) -> (age, (34.0, 43.5>)))
((vagina, (vagina, (-inf, 0.5>) -> (vagina, (-inf, 0.5>)) AND (age, (age, (19.5, 28.5>) -> (age, (34.0, 43.5>)))
