time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, 
1.0, 0.984444, 0.921053, 1.000000, 0.965517, 1.000000, 0.947368, 1.000000, 0.960000, 1.000000, 0.969325, 1.000000, 0.974227, 0.994737, 1.000000, 0.891304, 0.990698, 0.916667, 
2.0, 0.968889, 0.868421, 1.000000, 0.965517, 1.000000, 0.936842, 1.000000, 0.920000, 1.000000, 0.938650, 1.000000, 0.943299, 0.989474, 0.994595, 0.847826, 0.986047, 0.883333, 
3.0, 0.962222, 0.815789, 1.000000, 0.931034, 1.000000, 0.905263, 1.000000, 0.896000, 1.000000, 0.920245, 1.000000, 0.927835, 0.989474, 0.994595, 0.804348, 0.986047, 0.850000, 
4.0, 0.957778, 0.789474, 1.000000, 0.931034, 1.000000, 0.905263, 1.000000, 0.896000, 1.000000, 0.914110, 1.000000, 0.917526, 0.989474, 0.994595, 0.804348, 0.986047, 0.833333, 
5.0, 0.953333, 0.789474, 1.000000, 0.913793, 1.000000, 0.894737, 1.000000, 0.880000, 1.000000, 0.901840, 1.000000, 0.907216, 0.989474, 0.994595, 0.804348, 0.986047, 0.833333, 
6.0, 0.944444, 0.736842, 1.000000, 0.862069, 1.000000, 0.863158, 1.000000, 0.856000, 1.000000, 0.889571, 1.000000, 0.891753, 0.984211, 0.994595, 0.782609, 0.981395, 0.783333, 
7.0, 0.931111, 0.684211, 1.000000, 0.810345, 1.000000, 0.831579, 1.000000, 0.824000, 1.000000, 0.858896, 1.000000, 0.865979, 0.984211, 0.994595, 0.739130, 0.976744, 0.750000, 
10.0, 0.924444, 0.684211, 1.000000, 0.775862, 1.000000, 0.810526, 1.000000, 0.808000, 1.000000, 0.840491, 1.000000, 0.850515, 0.984211, 0.994595, 0.739130, 0.976744, 0.750000, 
11.0, 0.915556, 0.631579, 1.000000, 0.741379, 1.000000, 0.778947, 1.000000, 0.784000, 1.000000, 0.822086, 1.000000, 0.835052, 0.984211, 0.994595, 0.695652, 0.972093, 0.716667, 
14.0, 0.911111, 0.578947, 1.000000, 0.724138, 1.000000, 0.757895, 1.000000, 0.768000, 1.000000, 0.809816, 1.000000, 0.824742, 0.984211, 0.994595, 0.652174, 0.972093, 0.683333, 
