id,left,right
0,106,20
1,363,21
2,330,21
3,1,20
4,653,21
5,259,20
6,53,20
7,68,20
8,276,30
9,51,22
10,214,20
11,363,21
12,355,20
13,80,20
14,31,20
15,130,21
16,37,21
17,259,20
18,164,21
19,32,22
20,257,23
21,229,20
22,363,21
23,289,20
24,164,21
25,7,21
26,233,20
27,164,20
28,164,20
29,43,20
30,363,21
31,363,21
32,3,20
33,164,21
34,322,20
35,136,22
36,164,20
37,257,20
38,3,20
39,125,22
40,276,30
41,82,21
42,24,23
43,59,30
44,76,21
45,164,21
46,330,21
47,130,21
48,14,21
49,52,30
50,94,21
51,130,21
52,73,20
53,73,20
54,136,22
55,322,20
56,68,20
57,276,30
58,330,21
59,59,30
60,768,21
61,17,20
62,308,22
63,7,20
64,30,20
65,31,22
66,72,22
67,38,21
68,15,20
69,37,21
70,76,21
71,110,21
72,289,20
73,38,21
74,229,20
75,42,21
76,330,21
77,59,30
78,319,21
79,73,20
80,116,20
81,45,20
82,164,21
83,326,25
84,276,30
85,26,21
86,768,21
87,55,21
