id,distance,n_actions
0,0.285714,2
1,0.190476,2
2,0.285714,2
3,0.380952,3
4,0.190476,2
5,0.190476,2
6,0.261905,3
7,0.476190,4
8,0.476190,4
9,0.357143,3
10,0.309524,3
11,0.404762,4
12,0.380952,3
13,0.428571,3
14,0.333333,3
15,0.357143,3
16,0.190476,2
17,0.190476,2
18,0.285714,2
19,0.333333,3
20,0.261905,3
21,0.571429,4
22,0.214286,2
23,0.380952,3
24,0.214286,2
25,0.309524,3
26,0.404762,4
27,0.285714,2
28,0.500000,4
29,0.333333,4
30,0.285714,2
31,0.285714,3
32,0.357143,3
33,0.309524,3
34,0.380952,3
35,0.404762,4
36,0.416667,4
37,0.309524,3
38,0.238095,2
39,0.142857,1
40,0.190476,2
41,0.142857,1
42,0.428571,3
43,0.178571,2
44,0.404762,4
45,0.500000,4
46,0.309524,3
47,0.261905,3
48,0.190476,3
49,0.500000,4
50,0.214286,2
51,0.309524,3
52,0.285714,2
53,0.571429,4
54,0.285714,3
55,0.428571,3
56,0.476190,4
57,0.142857,1
58,0.261905,3
59,0.428571,3
60,0.428571,3
61,0.142857,1
62,0.571429,4
63,0.309524,3
64,0.190476,3
65,0.500000,4
66,0.178571,2
67,0.428571,3
68,0.261905,3
69,0.238095,2
70,0.428571,3
71,0.309524,3
72,0.404762,4
73,0.357143,3
74,0.214286,2
75,0.416667,4
76,0.500000,4
77,0.178571,2
78,0.428571,3
79,0.500000,4
80,0.428571,3
81,0.452381,4
82,0.428571,3
83,0.452381,4
84,0.261905,3
85,0.214286,2
86,0.571429,4
87,0.261905,3
88,0.142857,1
89,0.357143,3
90,0.428571,3
91,0.380952,3
92,0.416667,4
93,0.309524,3
94,0.142857,1
95,0.428571,3
96,0.309524,3
97,0.428571,3
98,0.428571,3
99,0.261905,3
100,0.261905,3
101,0.428571,3
102,0.428571,3
103,0.261905,3
