((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (hr, (hr, (75.0, 113.5>) -> (hr, (75.0, 113.5>)) AND (diasbp, (diasbp, (97.5, 130.5>) -> (diasbp, (57.0, 94.5>)))
((age, (age, (73.5, 85.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (75.0, 113.5>) -> (hr, (48.5, 60.5>)))
((age, (age, (85.5, inf)) -> (age, (-inf, 69.5>)) AND (hr, (hr, (75.0, 113.5>) -> (hr, (48.5, 60.5>)))
((age, (age, (73.5, 85.5>) -> (age, (-inf, 69.5>)) AND (diasbp, (diasbp, (57.0, 94.5>) -> (diasbp, (97.5, 130.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (57.0, 94.5>) -> (diasbp, (57.0, 94.5>)))
((age, (age, (73.5, 85.5>) -> (age, (-inf, 69.5>)) AND (diasbp, (diasbp, (15.5, 57.0>) -> (diasbp, (97.5, 130.5>)))
((age, (age, (73.5, 85.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (68.5, 73.5>) -> (hr, (48.5, 60.5>)))
((age, (age, (-inf, 69.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (75.0, 113.5>) -> (hr, (48.5, 60.5>)))
((age, (age, (85.5, inf)) -> (age, (-inf, 69.5>)) AND (hr, (hr, (75.0, 113.5>) -> (hr, (48.5, 60.5>)))
((bmi, (bmi, (28.826255, 40.89478>) -> (bmi, (-inf, 18.822625000000002>)))
((bmi, (bmi, (26.573935, 27.67037>) -> (bmi, (-inf, 18.822625000000002>)) AND (sysbp, (sysbp, (113.5, 197.0>) -> (sysbp, (113.5, 197.0>)))
((bmi, (bmi, (27.67037, 28.826255>) -> (bmi, (-inf, 18.822625000000002>)) AND (sysbp, (sysbp, (113.5, 197.0>) -> (sysbp, (113.5, 197.0>)))
((hr, (hr, (48.5, 60.5>) -> (hr, (125.5, inf))))
((diasbp, (diasbp, (97.5, 130.5>) -> (diasbp, (57.0, 94.5>)) AND (sysbp, (sysbp, (213.0, 227.0>) -> (sysbp, (113.5, 197.0>)) AND (hr, (hr, (68.5, 73.5>) -> (hr, (75.0, 113.5>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (av3, (av3, (-inf, 0.5>) -> (av3, (-inf, 0.5>)))
((bmi, (bmi, (27.67037, 28.826255>) -> (bmi, (-inf, 18.822625000000002>)) AND (sysbp, (sysbp, (113.5, 197.0>) -> (sysbp, (113.5, 197.0>)))
((age, (age, (73.5, 85.5>) -> (age, (-inf, 69.5>)) AND (hr, (hr, (48.5, 60.5>) -> (hr, (48.5, 60.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (hr, (hr, (73.5, 75.0>) -> (hr, (75.0, 113.5>)) AND (diasbp, (diasbp, (57.0, 94.5>) -> (diasbp, (57.0, 94.5>)))
((age, (age, (71.5, 73.5>) -> (age, (85.5, inf))) AND (hr, (hr, (60.5, 68.5>) -> (hr, (75.0, 113.5>)) AND (diasbp, (diasbp, (15.5, 57.0>) -> (diasbp, (57.0, 94.5>)))
((age, (age, (73.5, 85.5>) -> (age, (85.5, inf))) AND (hr, (hr, (48.5, 60.5>) -> (hr, (75.0, 113.5>)) AND (diasbp, (diasbp, (57.0, 94.5>) -> (diasbp, (57.0, 94.5>)))
((diasbp, (diasbp, (15.5, 57.0>) -> (diasbp, (57.0, 94.5>)) AND (hr, (hr, (48.5, 60.5>) -> (hr, (48.5, 60.5>)))
((age, (age, (85.5, inf)) -> (age, (-inf, 69.5>)) AND (diasbp, (diasbp, (57.0, 94.5>) -> (diasbp, (97.5, 130.5>)))
((age, (age, (73.5, 85.5>) -> (age, (-inf, 69.5>)) AND (diasbp, (diasbp, (57.0, 94.5>) -> (diasbp, (97.5, 130.5>)))
((bmi, (bmi, (26.573935, 27.67037>) -> (bmi, (-inf, 18.822625000000002>)) AND (sysbp, (sysbp, (113.5, 197.0>) -> (sysbp, (113.5, 197.0>)))
((bmi, (bmi, (28.826255, 40.89478>) -> (bmi, (-inf, 18.822625000000002>)) AND (sysbp, (sysbp, (113.5, 197.0>) -> (sysbp, (113.5, 197.0>)))
((age, (age, (85.5, inf)) -> (age, (-inf, 69.5>)) AND (diasbp, (diasbp, (15.5, 57.0>) -> (diasbp, (97.5, 130.5>)))
((age, (age, (71.5, 73.5>) -> (age, (-inf, 69.5>)) AND (diasbp, (diasbp, (57.0, 94.5>) -> (diasbp, (97.5, 130.5>)))
((bmi, (bmi, (27.67037, 28.826255>) -> (bmi, (-inf, 18.822625000000002>)) AND (sysbp, (sysbp, (113.5, 197.0>) -> (sysbp, (113.5, 197.0>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (97.5, 130.5>) -> (diasbp, (57.0, 94.5>)))
((age, (age, (-inf, 69.5>) -> (age, (85.5, inf))) AND (diasbp, (diasbp, (94.5, 97.5>) -> (diasbp, (57.0, 94.5>)))
((age, (age, (71.5, 73.5>) -> (age, (-inf, 69.5>)) AND (diasbp, (diasbp, (57.0, 94.5>) -> (diasbp, (97.5, 130.5>)))
