rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 7, 6, 4, 4.9367, 34.5570, 0.0000, 0.0000, 193.0000, 1168.0000, -975.0000
r2, 10, 7, 4, 10.1266, 35.4430, 0.0000, 0.0000, 218.0000, 1090.0000, -872.0000
r3, 8, 7, 6, 29.2405, 32.5316, 0.0000, 0.0000, 339.0000, 1168.0000, -829.0000
r4, 3, 3, 2, 20.3797, 32.7848, 0.0000, 0.0000, 353.0000, 1168.0000, -815.0000
r5, 4, 4, 2, 21.8987, 32.6582, 0.0000, 0.0000, 353.0000, 1168.0000, -815.0000
r6, 4, 4, 2, 25.8228, 40.2532, 0.0000, 0.0000, 424.0000, 869.0000, -445.0000
r7, 8, 5, 3, 20.5063, 12.2785, 0.0000, 0.0000, 1327.0000, 360.0000, 967.0000
r8, 5, 3, 2, 23.2911, 58.1013, 0.0000, 0.0000, 1327.0000, 489.0000, 838.0000
r9, 7, 6, 3, 23.7975, 6.9620, 0.0000, 0.0000, 1327.0000, 289.0000, 1038.0000
r10, 4, 4, 3, 32.6582, 32.7848, 0.0000, 0.0000, 400.0000, 1168.0000, -768.0000
r11, 7, 7, 2, 19.2405, 5.5696, 0.0000, 0.0000, 1162.0000, 218.0000, 944.0000
r12, 4, 3, 0, 27.9747, 5.8228, 0.0000, 0.0000, 1096.0000, 218.0000, 878.0000
r13, 4, 4, 1, 10.7595, 9.4937, 0.0000, 0.0000, 1425.0000, 297.0000, 1128.0000
r14, 3, 3, 1, 36.8354, 30.5063, 0.0000, 0.0000, 858.0000, 424.0000, 434.0000
