attribute,value
SensorMeasure6,"(-inf, 5.715>"
SensorMeasure6,"(5.715, inf)"
SensorMeasure13,"(-inf, 2028.315>"
SensorMeasure13,"(2028.315, 2388.0550000000003>"
SensorMeasure13,"(2388.0550000000003, inf)"
SensorMeasure21,"(-inf, 6.315099999999999>"
SensorMeasure21,"(6.315099999999999, 17.1764>"
SensorMeasure21,"(17.1764, inf)"
SensorMeasure4,"(-inf, 1126.31>"
SensorMeasure4,"(1126.31, 1127.165>"
SensorMeasure4,"(1127.165, inf)"
SensorMeasure3,"(-inf, 1257.25>"
SensorMeasure3,"(1257.25, 1497.065>"
SensorMeasure3,"(1497.065, inf)"
SensorMeasure17,"(-inf, 332.5>"
SensorMeasure17,"(332.5, 362.5>"
SensorMeasure17,"(362.5, inf)"
SensorMeasure14,"(-inf, 8064.91>"
SensorMeasure14,"(8064.91, 8064.925>"
SensorMeasure14,"(8064.925, 8069.505>"
SensorMeasure14,"(8069.505, inf)"
SensorMeasure12,"(-inf, 165.015>"
SensorMeasure12,"(165.015, 315.725>"
SensorMeasure12,"(315.725, 521.42>"
SensorMeasure12,"(521.42, inf)"
SensorMeasure20,"(-inf, 10.56>"
SensorMeasure20,"(10.56, 14.97>"
SensorMeasure20,"(14.97, 24.605>"
SensorMeasure20,"(24.605, 39.055>"
SensorMeasure20,"(39.055, inf)"
SensorMeasure7,"(-inf, 138.485>"
SensorMeasure7,"(138.485, 335.1>"
SensorMeasure7,"(335.1, inf)"
OpSet2,"(-inf, 0.25025>"
OpSet2,"(0.25025, 0.2505>"
OpSet2,"(0.2505, inf)"
