((SensorMeasure4, (SensorMeasure4, (1127.165, inf)) -> (SensorMeasure4, (1127.165, inf))) AND (SensorMeasure17, (SensorMeasure17, (-inf, 332.5>) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure17, (SensorMeasure17, (-inf, 332.5>) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure20, (SensorMeasure20, (24.605, 39.055>) -> (SensorMeasure20, (14.97, 24.605>)) AND (SensorMeasure13, (SensorMeasure13, (2028.315, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, inf))))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure17, (SensorMeasure17, (362.5, inf)) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (-inf, 5.715>) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (-inf, 5.715>) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure4, (SensorMeasure4, (-inf, 1126.31>) -> (SensorMeasure4, (1127.165, inf))) AND (SensorMeasure17, (SensorMeasure17, (-inf, 332.5>) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure17, (SensorMeasure17, (362.5, inf)) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (-inf, 5.715>) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure4, (SensorMeasure4, (1127.165, inf)) -> (SensorMeasure4, (1127.165, inf))) AND (SensorMeasure17, (SensorMeasure17, (362.5, inf)) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure20, (SensorMeasure20, (10.56, 14.97>) -> (SensorMeasure20, (14.97, 24.605>)) AND (SensorMeasure13, (SensorMeasure13, (2028.315, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, inf))))
((SensorMeasure20, (SensorMeasure20, (24.605, 39.055>) -> (SensorMeasure20, (14.97, 24.605>)) AND (SensorMeasure13, (SensorMeasure13, (2388.0550000000003, inf)) -> (SensorMeasure13, (2388.0550000000003, inf))))
((SensorMeasure4, (SensorMeasure4, (-inf, 1126.31>) -> (SensorMeasure4, (1127.165, inf))) AND (SensorMeasure17, (SensorMeasure17, (-inf, 332.5>) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure20, (SensorMeasure20, (10.56, 14.97>) -> (SensorMeasure20, (14.97, 24.605>)) AND (SensorMeasure13, (SensorMeasure13, (2388.0550000000003, inf)) -> (SensorMeasure13, (2388.0550000000003, inf))))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure17, (SensorMeasure17, (362.5, inf)) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure20, (SensorMeasure20, (24.605, 39.055>) -> (SensorMeasure20, (14.97, 24.605>)) AND (SensorMeasure13, (SensorMeasure13, (2028.315, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, inf))))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure4, (SensorMeasure4, (-inf, 1126.31>) -> (SensorMeasure4, (1127.165, inf))) AND (SensorMeasure17, (SensorMeasure17, (-inf, 332.5>) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure4, (SensorMeasure4, (1127.165, inf)) -> (SensorMeasure4, (1127.165, inf))) AND (SensorMeasure17, (SensorMeasure17, (-inf, 332.5>) -> (SensorMeasure17, (332.5, 362.5>)))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (138.485, 335.1>) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
((SensorMeasure7, (SensorMeasure7, (335.1, inf)) -> (SensorMeasure7, (138.485, 335.1>)) AND (SensorMeasure6, (SensorMeasure6, (5.715, inf)) -> (SensorMeasure6, (-inf, 5.715>)))
