rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 7, 6, 3, 22.1800, 6.2104, 0.0000, 0.0000, 1327.0000, 315.0000, 1012.0000
r2, 6, 4, 1, 26.4892, 9.6324, 0.0000, 0.0000, 1327.0000, 333.0000, 994.0000
r3, 5, 3, 1, 25.0951, 8.4918, 0.0000, 0.0000, 1207.0000, 367.0000, 840.0000
r4, 7, 6, 2, 6.5906, 40.3042, 0.0000, 0.0000, 180.0000, 1168.0000, -988.0000
r5, 7, 6, 5, 22.1800, 32.9531, 0.0000, 0.0000, 336.0000, 1207.0000, -871.0000
r6, 4, 3, 1, 16.0963, 51.2041, 0.0000, 0.0000, 315.0000, 846.0000, -531.0000
r7, 4, 4, 2, 19.3916, 54.7529, 0.0000, 0.0000, 339.0000, 842.0000, -503.0000
r8, 2, 2, 1, 24.9683, 33.8403, 0.0000, 0.0000, 383.0000, 1207.0000, -824.0000
r9, 4, 4, 3, 32.3194, 33.8403, 0.0000, 0.0000, 400.0000, 1207.0000, -807.0000
r10, 6, 5, 4, 19.5184, 14.4487, 0.0000, 0.0000, 1482.0000, 338.0000, 1144.0000
r11, 5, 4, 0, 12.8010, 3.8023, 0.0000, 0.0000, 1425.0000, 193.0000, 1232.0000
r12, 9, 7, 5, 34.3473, 12.9278, 0.0000, 0.0000, 1138.0000, 377.0000, 761.0000
r13, 4, 4, 2, 34.0938, 29.4043, 0.0000, 0.0000, 956.0000, 458.0000, 498.0000
r14, 3, 3, 0, 40.6844, 3.9290, 0.0000, 0.0000, 842.0000, 315.0000, 527.0000
