time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, 
1.0, 0.996198, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.980769, 1.000000, 0.988571, 1.000000, 0.992126, 1.000000, 0.993464, 0.997685, 0.994924, 1.000000, 0.992157, 1.000000, 1.000000, 1.000000, 0.990099, 1.000000, 0.996310, 1.000000, 0.996283, 0.995690, 0.996885, 1.000000, 
2.0, 0.993637, 1.000000, 1.000000, 1.000000, 0.986667, 1.000000, 1.000000, 0.980769, 0.996845, 0.988571, 1.000000, 0.984060, 0.997519, 0.986841, 0.995354, 0.989769, 1.000000, 0.988156, 1.000000, 0.993421, 1.000000, 0.990099, 1.000000, 0.992606, 0.990196, 0.992551, 0.991323, 0.993760, 1.000000, 
3.0, 0.985924, 1.000000, 1.000000, 0.995192, 0.973333, 0.994898, 0.968750, 0.942308, 0.993681, 0.977009, 0.988372, 0.959862, 0.995025, 0.966972, 0.993007, 0.974304, 0.988636, 0.976154, 0.988636, 0.993421, 1.000000, 0.990099, 1.000000, 0.992606, 0.980392, 0.988806, 0.973854, 0.990605, 1.000000, 
4.0, 0.982053, 1.000000, 1.000000, 0.990385, 0.960000, 0.994898, 0.953125, 0.923077, 0.993681, 0.965378, 0.984496, 0.951727, 0.990037, 0.960303, 0.988312, 0.969093, 0.984848, 0.972104, 0.984848, 0.993421, 0.990991, 0.990099, 1.000000, 0.992606, 0.970489, 0.988806, 0.969448, 0.984295, 1.000000, 
5.0, 0.972996, 0.994253, 1.000000, 0.985577, 0.960000, 0.984694, 0.953125, 0.903846, 0.977858, 0.959563, 0.972868, 0.943593, 0.977568, 0.953588, 0.974193, 0.963855, 0.973485, 0.968037, 0.973485, 0.993421, 0.981899, 0.990099, 0.965517, 0.981495, 0.970489, 0.970007, 0.965021, 0.971636, 1.000000, 
6.0, 0.972996, 0.994253, 1.000000, 0.985577, 0.960000, 0.984694, 0.953125, 0.903846, 0.977858, 0.959563, 0.972868, 0.943593, 0.977568, 0.953588, 0.974193, 0.963855, 0.973485, 0.968037, 0.973485, 0.993421, 0.981899, 0.990099, 0.965517, 0.981495, 0.970489, 0.970007, 0.965021, 0.971636, 1.000000, 
7.0, 0.969051, 0.994253, 1.000000, 0.985577, 0.960000, 0.979511, 0.936692, 0.884615, 0.977858, 0.953639, 0.972868, 0.935388, 0.975036, 0.946824, 0.969417, 0.958530, 0.969652, 0.963882, 0.969652, 0.993421, 0.981899, 0.990099, 0.965517, 0.977763, 0.970489, 0.966188, 0.960533, 0.965180, 1.000000, 
8.0, 0.966414, 0.994253, 1.000000, 0.985577, 0.960000, 0.979511, 0.920259, 0.884615, 0.977858, 0.947716, 0.972868, 0.935388, 0.972503, 0.946824, 0.964618, 0.958530, 0.969652, 0.963882, 0.969652, 0.993421, 0.981899, 0.990099, 0.931034, 0.977763, 0.970489, 0.966188, 0.960533, 0.961941, 1.000000, 
9.0, 0.962448, 0.994253, 1.000000, 0.985577, 0.946667, 0.979511, 0.920259, 0.846154, 0.977858, 0.935795, 0.972868, 0.918977, 0.972503, 0.933298, 0.964618, 0.947880, 0.969652, 0.951418, 0.969652, 0.993421, 0.963373, 0.990099, 0.931034, 0.977763, 0.960274, 0.966188, 0.951556, 0.961941, 1.000000, 
10.0, 0.959797, 0.994253, 1.000000, 0.985577, 0.946667, 0.979511, 0.903825, 0.846154, 0.974620, 0.929835, 0.968897, 0.918977, 0.969951, 0.933298, 0.962195, 0.947880, 0.965758, 0.951418, 0.965758, 0.993421, 0.963373, 0.990099, 0.931034, 0.977763, 0.950058, 0.966188, 0.947067, 0.961941, 0.966667, 
11.0, 0.958471, 0.994253, 1.000000, 0.985577, 0.946667, 0.979511, 0.903825, 0.846154, 0.971382, 0.929835, 0.968897, 0.918977, 0.967398, 0.933298, 0.962195, 0.947880, 0.965758, 0.951418, 0.965758, 0.993421, 0.963373, 0.990099, 0.931034, 0.977763, 0.950058, 0.966188, 0.947067, 0.958658, 0.966667, 
12.0, 0.957142, 0.994253, 1.000000, 0.985577, 0.946667, 0.979511, 0.903825, 0.826923, 0.971382, 0.923874, 0.968897, 0.910698, 0.967398, 0.926486, 0.962195, 0.942524, 0.965758, 0.947245, 0.965758, 0.993421, 0.963373, 0.990099, 0.931034, 0.977763, 0.939731, 0.966188, 0.942557, 0.958658, 0.966667, 
13.0, 0.954472, 0.994253, 1.000000, 0.985577, 0.946667, 0.979511, 0.903825, 0.826923, 0.971382, 0.917914, 0.968897, 0.902419, 0.967398, 0.919674, 0.959765, 0.937139, 0.965758, 0.943054, 0.965758, 0.993421, 0.963373, 0.990099, 0.896552, 0.973944, 0.929290, 0.966188, 0.938004, 0.958658, 0.966667, 
14.0, 0.954472, 0.994253, 1.000000, 0.985577, 0.946667, 0.979511, 0.903825, 0.826923, 0.971382, 0.917914, 0.968897, 0.902419, 0.967398, 0.919674, 0.959765, 0.937139, 0.965758, 0.943054, 0.965758, 0.993421, 0.963373, 0.990099, 0.896552, 0.973944, 0.929290, 0.966188, 0.938004, 0.958658, 0.966667, 
15.0, 0.954472, 0.994253, 1.000000, 0.985577, 0.946667, 0.979511, 0.903825, 0.826923, 0.971382, 0.917914, 0.968897, 0.902419, 0.967398, 0.919674, 0.959765, 0.937139, 0.965758, 0.943054, 0.965758, 0.993421, 0.963373, 0.990099, 0.896552, 0.973944, 0.929290, 0.966188, 0.938004, 0.958658, 0.966667, 
16.0, 0.954472, 0.994253, 1.000000, 0.985577, 0.946667, 0.979511, 0.903825, 0.826923, 0.971382, 0.917914, 0.968897, 0.902419, 0.967398, 0.919674, 0.959765, 0.937139, 0.965758, 0.943054, 0.965758, 0.993421, 0.963373, 0.990099, 0.896552, 0.973944, 0.929290, 0.966188, 0.938004, 0.958658, 0.966667, 
17.0, 0.950433, 0.994253, 0.978723, 0.985577, 0.933333, 0.979511, 0.886444, 0.806754, 0.971382, 0.905836, 0.968897, 0.885552, 0.967398, 0.905844, 0.959765, 0.920793, 0.965758, 0.930367, 0.965758, 0.993421, 0.944483, 0.990099, 0.896552, 0.973944, 0.918484, 0.966188, 0.924142, 0.958658, 0.933333, 
18.0, 0.949087, 0.994253, 0.978723, 0.985577, 0.933333, 0.974159, 0.886444, 0.806754, 0.971382, 0.905836, 0.968897, 0.885552, 0.967398, 0.905844, 0.959765, 0.920793, 0.961767, 0.930367, 0.961767, 0.986522, 0.944483, 0.990099, 0.896552, 0.973944, 0.907678, 0.966188, 0.919521, 0.958658, 0.933333, 
19.0, 0.946383, 0.994253, 0.936170, 0.985577, 0.933333, 0.974159, 0.886444, 0.806754, 0.971382, 0.899757, 0.968897, 0.877118, 0.967398, 0.898929, 0.959765, 0.915345, 0.961767, 0.921909, 0.961767, 0.979624, 0.934943, 0.990099, 0.896552, 0.973944, 0.896873, 0.966188, 0.914900, 0.958658, 0.900000, 
20.0, 0.943671, 0.994253, 0.936170, 0.985577, 0.919807, 0.974159, 0.886444, 0.786585, 0.971382, 0.893677, 0.968897, 0.868684, 0.967398, 0.892014, 0.959765, 0.909896, 0.961767, 0.913451, 0.961767, 0.979624, 0.925304, 0.990099, 0.896552, 0.973944, 0.886067, 0.966188, 0.910280, 0.958658, 0.900000, 
21.0, 0.940956, 0.994253, 0.914399, 0.985577, 0.906280, 0.974159, 0.886444, 0.786585, 0.971382, 0.893677, 0.968897, 0.868684, 0.967398, 0.885099, 0.959765, 0.898999, 0.961767, 0.904993, 0.961767, 0.979624, 0.925304, 0.990099, 0.862069, 0.973944, 0.886067, 0.966188, 0.901038, 0.958658, 0.866667, 
22.0, 0.938240, 0.988190, 0.914399, 0.980523, 0.906280, 0.968777, 0.868715, 0.786585, 0.968067, 0.893677, 0.960721, 0.868684, 0.962155, 0.885099, 0.954792, 0.898999, 0.953753, 0.904993, 0.953753, 0.979624, 0.925304, 0.990099, 0.862069, 0.970063, 0.886067, 0.962212, 0.901038, 0.951954, 0.866667, 
23.0, 0.936878, 0.988190, 0.914399, 0.980523, 0.906280, 0.968777, 0.868715, 0.766417, 0.968067, 0.887598, 0.960721, 0.860250, 0.962155, 0.878185, 0.954792, 0.893551, 0.953753, 0.900764, 0.953753, 0.979624, 0.925304, 0.990099, 0.862069, 0.970063, 0.886067, 0.962212, 0.896418, 0.951954, 0.866667, 
24.0, 0.936878, 0.988190, 0.914399, 0.980523, 0.906280, 0.968777, 0.868715, 0.766417, 0.968067, 0.887598, 0.960721, 0.860250, 0.962155, 0.878185, 0.954792, 0.893551, 0.953753, 0.900764, 0.953753, 0.979624, 0.925304, 0.990099, 0.862069, 0.970063, 0.886067, 0.962212, 0.896418, 0.951954, 0.866667, 
25.0, 0.936878, 0.988190, 0.914399, 0.980523, 0.906280, 0.968777, 0.868715, 0.766417, 0.968067, 0.887598, 0.960721, 0.860250, 0.962155, 0.878185, 0.954792, 0.893551, 0.953753, 0.900764, 0.953753, 0.979624, 0.925304, 0.990099, 0.862069, 0.970063, 0.886067, 0.962212, 0.896418, 0.951954, 0.866667, 
26.0, 0.935511, 0.988190, 0.914399, 0.980523, 0.906280, 0.968777, 0.868715, 0.766417, 0.964717, 0.887598, 0.960721, 0.860250, 0.959511, 0.878185, 0.952273, 0.893551, 0.953753, 0.900764, 0.953753, 0.979624, 0.925304, 0.990099, 0.862069, 0.970063, 0.886067, 0.958186, 0.896418, 0.948566, 0.866667, 
