id,left,right
0,608,21
1,35,20
2,687,21
3,762,27
4,687,21
5,35,20
6,71,22
7,22,22
8,687,21
9,426,20
10,12,20
11,40,22
12,119,20
13,426,20
14,71,20
15,124,20
16,71,22
17,57,22
18,687,21
19,687,21
20,687,21
21,10,23
22,58,22
23,8,31
24,71,22
25,687,21
26,6,22
27,687,21
28,687,21
29,190,27
30,426,20
31,40,22
32,57,22
33,687,21
34,608,21
35,1,22
36,96,20
37,35,20
38,687,21
39,57,22
40,608,21
41,119,20
42,119,20
43,14,23
44,104,20
45,687,21
46,42,22
47,119,20
48,71,22
49,107,24
50,608,21
51,71,22
52,35,20
53,71,20
54,98,27
55,0,30
56,58,22
57,687,21
58,762,27
59,57,22
60,39,20
61,687,21
62,57,22
63,26,26
64,20,20
65,426,20
66,3,22
67,687,21
68,13,22
69,687,21
70,26,26
71,687,21
72,687,21
73,687,21
74,687,21
75,3,22
76,71,22
77,13,22
78,71,22
79,5,23
80,687,21
81,687,21
82,61,20
83,71,22
84,57,22
85,71,22
86,104,20
87,119,20
