((SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2387.99>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure13, (SensorMeasure13, (2387.99, 2388.0550000000003>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure6, (SensorMeasure6, (9.015, 9.024999999999999>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2387.99>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure6, (SensorMeasure6, (13.645, inf)) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2387.99>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.0950000000003>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2387.99>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure6, (SensorMeasure6, (13.645, inf)) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure13, (SensorMeasure13, (2388.0950000000003, inf)) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure13, (SensorMeasure13, (-inf, 2387.99>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure13, (SensorMeasure13, (2387.99, 2388.0550000000003>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure6, (SensorMeasure6, (13.645, inf)) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure13, (SensorMeasure13, (2388.0550000000003, 2388.0950000000003>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
((SensorMeasure6, (SensorMeasure6, (-inf, 9.015>) -> (SensorMeasure6, (13.645, inf))) AND (SensorMeasure13, (SensorMeasure13, (2387.99, 2388.0550000000003>) -> (SensorMeasure13, (2388.0950000000003, inf))) AND (SensorMeasure9, (SensorMeasure9, (-inf, 9056.695>) -> (SensorMeasure9, (-inf, 9056.695>)))
