id,left,right
0,18,23
1,24,23
2,34,23
3,14,34
4,14,34
5,34,23
6,69,24
7,37,43
8,228,45
9,24,23
10,173,43
11,9,43
12,14,34
13,37,24
14,48,34
15,78,43
16,71,29
17,155,23
18,66,23
19,37,43
20,78,43
21,45,45
22,71,43
23,228,45
24,7,23
25,26,43
26,68,23
27,173,43
28,18,43
29,26,24
30,34,23
31,78,69
32,6,43
33,173,43
34,17,24
35,78,43
36,68,23
37,43,24
38,26,43
39,17,43
40,78,69
41,24,43
42,71,43
43,78,43
44,173,43
45,20,43
46,6,43
47,48,34
48,11,43
49,37,43
50,31,29
51,26,43
52,17,43
53,26,24
54,78,43
55,21,34
56,7,43
57,78,43
58,1,43
59,173,43
60,12,34
61,14,23
62,29,43
63,112,48
64,68,23
65,228,29
66,1,24
67,173,43
68,173,43
69,1,24
70,45,29
71,173,43
72,8,34
73,27,43
74,5,34
75,173,43
76,155,23
77,37,43
78,173,24
79,34,23
80,24,23
81,71,43
82,65,34
83,102,45
84,228,45
85,9,43
