((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (-inf, 1.0>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))))
((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((CD34kgx10d6, (CD34kgx10d6, (7.275, 11.739999999999998>) -> (CD34kgx10d6, (11.739999999999998, 23.814999999999998>)) AND (CD3dCD34, (CD3dCD34, (0.7013515, 5.403679500000001>) -> (CD3dCD34, (0.7013515, 5.403679500000001>)) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)))
((CD34kgx10d6, (CD34kgx10d6, (0.8049999999999999, 7.275>) -> (CD34kgx10d6, (11.739999999999998, 23.814999999999998>)) AND (CD3dCD34, (CD3dCD34, (5.403679500000001, inf)) -> (CD3dCD34, (0.7013515, 5.403679500000001>)) AND (Rbodymass, (Rbodymass, (31.9, 49.8>) -> (Rbodymass, (-inf, 31.9>)))
((CD34kgx10d6, (CD34kgx10d6, (0.8049999999999999, 7.275>) -> (CD34kgx10d6, (11.739999999999998, 23.814999999999998>)) AND (CD3dCD34, (CD3dCD34, (5.403679500000001, inf)) -> (CD3dCD34, (0.7013515, 5.403679500000001>)) AND (Rbodymass, (Rbodymass, (49.8, inf)) -> (Rbodymass, (-inf, 31.9>)))
((CD34kgx10d6, (CD34kgx10d6, (0.8049999999999999, 7.275>) -> (CD34kgx10d6, (11.739999999999998, 23.814999999999998>)) AND (CD3dCD34, (CD3dCD34, (5.403679500000001, inf)) -> (CD3dCD34, (0.7013515, 5.403679500000001>)) AND (Rbodymass, (Rbodymass, (49.8, inf)) -> (Rbodymass, (-inf, 31.9>)))
((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (12.55, 16.3>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((CD34kgx10d6, (CD34kgx10d6, (0.8049999999999999, 7.275>) -> (CD34kgx10d6, (11.739999999999998, 23.814999999999998>)) AND (CD3dCD34, (CD3dCD34, (5.403679500000001, inf)) -> (CD3dCD34, (0.7013515, 5.403679500000001>)) AND (Rbodymass, (Rbodymass, (49.8, inf)) -> (Rbodymass, (-inf, 31.9>)))
((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
