attribute,value
albumin,"(-inf, 3.13>"
albumin,"(3.13, 3.16>"
albumin,"(3.16, 3.1950000000000003>"
albumin,"(3.1950000000000003, 3.8150000000000004>"
albumin,"(3.8150000000000004, 3.84>"
albumin,"(3.84, 3.87>"
albumin,"(3.87, 3.9050000000000002>"
albumin,"(3.9050000000000002, 4.13>"
albumin,"(4.13, inf)"
sex,{f}
bili,"(-inf, 1.35>"
bili,"(1.35, 1.75>"
bili,"(1.75, 1.85>"
bili,"(1.85, 1.95>"
bili,"(1.95, 2.25>"
bili,"(2.25, 6.45>"
bili,"(6.45, 8.85>"
bili,"(8.85, inf)"
protime,"(-inf, 9.05>"
protime,"(9.05, 10.95>"
protime,"(10.95, inf)"
age,"(-inf, 30.569473000000002>"
age,"(30.569473000000002, 32.2491445>"
age,"(32.2491445, 41.0759755>"
age,"(41.0759755, 42.926762499999995>"
age,"(42.926762499999995, 65.381246>"
age,"(65.381246, 66.1218345>"
age,"(66.1218345, 68.90486>"
age,"(68.90486, 69.674196>"
age,"(69.674196, 72.23271700000001>"
age,"(72.23271700000001, inf)"
platelet,"(-inf, 426.5>"
platelet,"(426.5, inf)"
