((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (11.855, 15.719999999999999>)))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((CD34kgx10d6, (CD34kgx10d6, (8.68, 10.925>) -> (CD34kgx10d6, (11.855, 15.719999999999999>)))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (11.855, 15.719999999999999>)))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (11.55, 16.3>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((CD34kgx10d6, (CD34kgx10d6, (8.68, 10.925>) -> (CD34kgx10d6, (11.855, 15.719999999999999>)))
((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (11.855, 15.719999999999999>)))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (16.3, inf)) -> (Recipientage, (11.55, 16.3>)))
((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (11.855, 15.719999999999999>)))
((CD34kgx10d6, (CD34kgx10d6, (8.68, 10.925>) -> (CD34kgx10d6, (11.855, 15.719999999999999>)))
((Recipientage, (Recipientage, (-inf, 11.55>) -> (Recipientage, (16.3, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((CD34kgx10d6, (CD34kgx10d6, (7.955, 8.68>) -> (CD34kgx10d6, (11.855, 15.719999999999999>)))
((CD34kgx10d6, (CD34kgx10d6, (11.1815, 11.684999999999999>) -> (CD34kgx10d6, (14.0, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)))
((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (-inf, 7.15>)) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (PLTrecovery, (PLTrecovery, (26.5, inf)) -> (PLTrecovery, (26.5, inf))))
((CD34kgx10d6, (CD34kgx10d6, (14.0, inf)) -> (CD34kgx10d6, (-inf, 7.15>)) AND (Rbodymass, (Rbodymass, (36.5, inf)) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (PLTrecovery, (PLTrecovery, (-inf, 26.5>) -> (PLTrecovery, (26.5, inf))))
((CD34kgx10d6, (CD34kgx10d6, (14.0, inf)) -> (CD34kgx10d6, (-inf, 7.15>)) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (PLTrecovery, (PLTrecovery, (26.5, inf)) -> (PLTrecovery, (26.5, inf))))
((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (14.0, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))) AND (Rbodymass, (Rbodymass, (36.5, inf)) -> (Rbodymass, (-inf, 31.9>)))
((Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (CD34kgx10d6, (CD34kgx10d6, (14.0, inf)) -> (CD34kgx10d6, (14.0, inf))) AND (Donorage, (Donorage, (-inf, 46.828767>) -> (Donorage, (-inf, 46.828767>)) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))))
((Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (CD34kgx10d6, (CD34kgx10d6, (14.0, inf)) -> (CD34kgx10d6, (14.0, inf))) AND (Donorage, (Donorage, (-inf, 46.828767>) -> (Donorage, (-inf, 46.828767>)) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))))
((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (-inf, 7.15>)) AND (Rbodymass, (Rbodymass, (36.5, inf)) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (PLTrecovery, (PLTrecovery, (-inf, 26.5>) -> (PLTrecovery, (26.5, inf))))
((Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (PLTrecovery, (PLTrecovery, (-inf, 26.5>) -> (PLTrecovery, (26.5, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (-inf, 7.15>)) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))))
((CD34kgx10d6, (CD34kgx10d6, (7.15, 7.984999999999999>) -> (CD34kgx10d6, (-inf, 7.15>)) AND (Rbodymass, (Rbodymass, (36.5, inf)) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (PLTrecovery, (PLTrecovery, (-inf, 26.5>) -> (PLTrecovery, (26.5, inf))))
((CD34kgx10d6, (CD34kgx10d6, (14.0, inf)) -> (CD34kgx10d6, (-inf, 7.15>)) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (PLTrecovery, (PLTrecovery, (-inf, 26.5>) -> (PLTrecovery, (26.5, inf))))
((CD34kgx10d6, (CD34kgx10d6, (7.984999999999999, 11.1815>) -> (CD34kgx10d6, (-inf, 7.15>)) AND (Rbodymass, (Rbodymass, (31.9, 36.45>) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (PLTrecovery, (PLTrecovery, (26.5, inf)) -> (PLTrecovery, (26.5, inf))))
((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (14.0, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))) AND (Rbodymass, (Rbodymass, (36.5, inf)) -> (Rbodymass, (-inf, 31.9>)))
((CD34kgx10d6, (CD34kgx10d6, (14.0, inf)) -> (CD34kgx10d6, (-inf, 7.15>)) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (PLTrecovery, (PLTrecovery, (-inf, 26.5>) -> (PLTrecovery, (26.5, inf))))
((Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (CD34kgx10d6, (CD34kgx10d6, (7.984999999999999, 11.1815>) -> (CD34kgx10d6, (14.0, inf))) AND (Donorage, (Donorage, (-inf, 46.828767>) -> (Donorage, (-inf, 46.828767>)) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))))
((CD34kgx10d6, (CD34kgx10d6, (7.984999999999999, 11.1815>) -> (CD34kgx10d6, (-inf, 7.15>)) AND (Rbodymass, (Rbodymass, (36.5, inf)) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (PLTrecovery, (PLTrecovery, (-inf, 26.5>) -> (PLTrecovery, (26.5, inf))))
((CD34kgx10d6, (CD34kgx10d6, (7.984999999999999, 11.1815>) -> (CD34kgx10d6, (-inf, 7.15>)) AND (Rbodymass, (Rbodymass, (36.5, inf)) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (PLTrecovery, (PLTrecovery, (-inf, 26.5>) -> (PLTrecovery, (26.5, inf))))
((Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (CD34kgx10d6, (CD34kgx10d6, (11.855, 14.0>) -> (CD34kgx10d6, (14.0, inf))) AND (Donorage, (Donorage, (-inf, 46.828767>) -> (Donorage, (-inf, 46.828767>)) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))))
((CD34kgx10d6, (CD34kgx10d6, (11.1815, 11.684999999999999>) -> (CD34kgx10d6, (-inf, 7.15>)) AND (Rbodymass, (Rbodymass, (36.5, inf)) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (PLTrecovery, (PLTrecovery, (-inf, 26.5>) -> (PLTrecovery, (26.5, inf))))
