time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, 
1.0, 0.997465, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.997680, 1.000000, 1.000000, 1.000000, 0.994595, 1.000000, 0.996063, 1.000000, 1.000000, 1.000000, 1.000000, 0.994872, 1.000000, 0.996169, 1.000000, 1.000000, 1.000000, 1.000000, 0.995575, 1.000000, 1.000000, 0.995885, 1.000000, 0.996753, 1.000000, 
2.0, 0.996188, 1.000000, 1.000000, 1.000000, 1.000000, 0.993056, 1.000000, 0.993976, 0.997680, 0.994505, 1.000000, 1.000000, 0.989100, 1.000000, 0.992079, 1.000000, 1.000000, 1.000000, 0.993711, 0.989663, 1.000000, 0.992292, 1.000000, 1.000000, 1.000000, 1.000000, 0.991091, 1.000000, 0.990991, 0.995885, 0.991525, 0.996753, 0.995327, 
3.0, 0.987213, 0.970149, 0.996785, 0.978102, 0.996337, 0.972222, 0.993528, 0.975904, 0.992974, 0.972527, 0.993528, 1.000000, 0.967120, 1.000000, 0.976142, 1.000000, 0.980392, 0.994595, 0.974843, 0.968828, 0.997416, 0.980664, 0.988095, 0.994652, 0.975610, 0.995516, 0.973152, 0.992806, 0.954955, 0.991752, 0.957627, 0.990196, 0.976636, 
4.0, 0.982065, 0.955224, 0.996785, 0.970803, 0.992674, 0.958233, 0.987034, 0.963705, 0.988257, 0.961476, 0.987034, 1.000000, 0.956067, 1.000000, 0.968108, 1.000000, 0.960384, 0.994595, 0.962182, 0.958297, 0.992235, 0.972850, 0.984127, 0.994652, 0.951220, 0.991031, 0.964142, 0.992806, 0.936937, 0.991752, 0.940527, 0.986917, 0.967245, 
5.0, 0.973008, 0.940062, 0.983881, 0.963448, 0.981562, 0.944142, 0.977229, 0.951428, 0.976407, 0.950296, 0.977229, 1.000000, 0.944950, 0.993007, 0.960040, 0.993056, 0.960384, 0.978378, 0.949438, 0.947708, 0.984442, 0.965004, 0.972174, 0.978435, 0.926829, 0.977456, 0.955089, 0.978206, 0.927840, 0.975084, 0.931898, 0.973714, 0.957762, 
6.0, 0.973008, 0.940062, 0.983881, 0.963448, 0.981562, 0.944142, 0.977229, 0.951428, 0.976407, 0.950296, 0.977229, 1.000000, 0.944950, 0.993007, 0.960040, 0.993056, 0.960384, 0.978378, 0.949438, 0.947708, 0.984442, 0.965004, 0.972174, 0.978435, 0.926829, 0.977456, 0.955089, 0.978206, 0.927840, 0.975084, 0.931898, 0.973714, 0.957762, 
7.0, 0.969052, 0.924899, 0.983881, 0.956037, 0.973953, 0.937043, 0.973894, 0.945290, 0.971561, 0.944706, 0.973894, 1.000000, 0.939325, 0.993007, 0.955972, 0.993056, 0.960384, 0.972882, 0.943066, 0.942354, 0.981782, 0.961017, 0.968140, 0.978435, 0.901780, 0.972845, 0.950497, 0.978206, 0.918744, 0.970826, 0.923269, 0.966929, 0.952973, 
8.0, 0.966412, 0.924899, 0.983881, 0.948626, 0.973953, 0.937043, 0.970547, 0.945290, 0.966703, 0.944706, 0.970547, 1.000000, 0.939325, 0.993007, 0.955972, 0.993056, 0.960384, 0.972882, 0.943066, 0.942354, 0.981782, 0.961017, 0.968140, 0.978435, 0.876730, 0.972845, 0.950497, 0.978206, 0.918744, 0.970826, 0.923269, 0.963536, 0.952973, 
9.0, 0.963764, 0.909737, 0.983881, 0.948626, 0.973953, 0.929944, 0.970547, 0.939152, 0.966703, 0.939116, 0.970547, 1.000000, 0.928076, 0.993007, 0.947836, 0.993056, 0.960384, 0.972882, 0.936694, 0.931646, 0.981782, 0.953042, 0.968140, 0.978435, 0.876730, 0.972845, 0.941313, 0.978206, 0.909648, 0.970826, 0.914641, 0.963536, 0.948184, 
10.0, 0.961109, 0.909737, 0.980546, 0.948626, 0.973953, 0.929944, 0.967177, 0.939152, 0.964250, 0.933526, 0.967177, 0.987952, 0.928076, 0.985914, 0.947836, 0.993056, 0.960384, 0.972882, 0.936694, 0.931646, 0.979099, 0.953042, 0.964055, 0.978435, 0.851681, 0.972845, 0.936722, 0.978206, 0.900551, 0.970826, 0.906012, 0.963536, 0.943396, 
