rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 7, 6, 2, 8.6185, 39.6705, 0.0000, 0.0000, 274.0000, 1138.0000, -864.0000
r2, 7, 7, 5, 17.6172, 34.8542, 0.0000, 0.0000, 337.0000, 846.0000, -509.0000
r3, 3, 3, 2, 18.5044, 39.9240, 0.0000, 0.0000, 360.0000, 956.0000, -596.0000
r4, 4, 4, 2, 21.2928, 54.6261, 0.0000, 0.0000, 339.0000, 842.0000, -503.0000
r5, 4, 4, 3, 23.3207, 39.9240, 0.0000, 0.0000, 390.0000, 956.0000, -566.0000
r6, 5, 3, 1, 10.6464, 23.4474, 0.0000, 0.0000, 1481.0000, 320.0000, 1161.0000
r7, 4, 3, 1, 18.2510, 32.1926, 0.0000, 0.0000, 1327.0000, 389.0000, 938.0000
r8, 7, 6, 2, 18.6312, 6.4639, 0.0000, 0.0000, 1168.0000, 297.0000, 871.0000
r9, 4, 4, 1, 23.8276, 20.4056, 0.0000, 0.0000, 1207.0000, 339.0000, 868.0000
r10, 5, 4, 1, 24.7148, 49.4297, 0.0000, 0.0000, 320.0000, 842.0000, -522.0000
r11, 4, 4, 3, 33.0798, 32.3194, 0.0000, 0.0000, 400.0000, 1168.0000, -768.0000
r12, 6, 5, 2, 23.9544, 5.1965, 0.0000, 0.0000, 1096.0000, 218.0000, 878.0000
r13, 4, 3, 0, 28.5171, 28.6439, 0.0000, 0.0000, 1096.0000, 383.0000, 713.0000
r14, 6, 5, 2, 17.8707, 14.1952, 0.0000, 0.0000, 1437.0000, 353.0000, 1084.0000
r15, 6, 6, 2, 30.7985, 15.0824, 0.0000, 0.0000, 1138.0000, 367.0000, 771.0000
r16, 4, 4, 2, 39.0368, 27.3764, 0.0000, 0.0000, 869.0000, 400.0000, 469.0000
