((age, (age, (51.5, 71.5>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (51.5, 71.5>) -> (age, (85.5, 95.0>)) AND (bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (18.841839999999998, 26.817725>)) AND (diasbp, (diasbp, (54.5, 86.5>) -> (diasbp, (54.5, 86.5>)))
((age, (age, (51.5, 71.5>) -> (age, (85.5, 95.0>)) AND (bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (18.841839999999998, 26.817725>)) AND (diasbp, (diasbp, (87.0, 101.5>) -> (diasbp, (54.5, 86.5>)))
((age, (age, (51.5, 71.5>) -> (age, (85.5, 95.0>)) AND (diasbp, (diasbp, (102.0, 119.0>) -> (diasbp, (54.5, 86.5>)))
((age, (age, (-inf, 51.5>) -> (age, (85.5, 95.0>)) AND (bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (18.841839999999998, 26.817725>)) AND (diasbp, (diasbp, (87.0, 101.5>) -> (diasbp, (54.5, 86.5>)))
((age, (age, (73.5, 77.5>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (29.550220000000003, 39.794835>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (73.5, 77.5>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (16.572635, 18.822625000000002>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (73.5, 77.5>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (28.527965000000002, 29.550220000000003>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (51.5, 71.5>) -> (age, (73.5, 77.5>)) AND (diasbp, (diasbp, (54.5, 86.5>) -> (diasbp, (54.5, 86.5>)))
((age, (age, (73.5, 77.5>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (83.5, 85.5>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (-inf, 16.572635>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (51.5, 71.5>) -> (age, (73.5, 77.5>)) AND (diasbp, (diasbp, (87.0, 101.5>) -> (diasbp, (54.5, 86.5>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (83.5, 85.5>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (26.817725, 27.65447>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (-inf, 51.5>) -> (age, (73.5, 77.5>)) AND (diasbp, (diasbp, (102.0, 119.0>) -> (diasbp, (54.5, 86.5>)))
((age, (age, (51.5, 71.5>) -> (age, (85.5, 95.0>)) AND (bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (18.841839999999998, 26.817725>)) AND (diasbp, (diasbp, (54.5, 86.5>) -> (diasbp, (54.5, 86.5>)))
((age, (age, (51.5, 71.5>) -> (age, (85.5, 95.0>)) AND (bmi, (bmi, (29.550220000000003, 39.794835>) -> (bmi, (18.841839999999998, 26.817725>)) AND (diasbp, (diasbp, (-inf, 13.0>) -> (diasbp, (54.5, 86.5>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (26.817725, 27.65447>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (51.5, 71.5>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (51.5, 71.5>) -> (age, (73.5, 77.5>)) AND (diasbp, (diasbp, (87.0, 101.5>) -> (diasbp, (54.5, 86.5>)))
((age, (age, (-inf, 51.5>) -> (age, (85.5, 95.0>)) AND (bmi, (bmi, (29.550220000000003, 39.794835>) -> (bmi, (18.841839999999998, 26.817725>)) AND (diasbp, (diasbp, (102.0, 119.0>) -> (diasbp, (54.5, 86.5>)))
((bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (28.527965000000002, 29.550220000000003>)))
((age, (age, (85.5, 95.0>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (73.5, 77.5>) -> (age, (85.5, 95.0>)) AND (bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (18.841839999999998, 26.817725>)) AND (diasbp, (diasbp, (54.5, 86.5>) -> (diasbp, (54.5, 86.5>)))
((age, (age, (51.5, 71.5>) -> (age, (85.5, 95.0>)) AND (bmi, (bmi, (18.841839999999998, 26.817725>) -> (bmi, (18.841839999999998, 26.817725>)) AND (diasbp, (diasbp, (54.5, 86.5>) -> (diasbp, (54.5, 86.5>)))
((age, (age, (85.5, 95.0>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (-inf, 16.572635>) -> (bmi, (29.550220000000003, 39.794835>)))
((age, (age, (77.5, 83.5>) -> (age, (-inf, 51.5>)) AND (bmi, (bmi, (26.817725, 27.65447>) -> (bmi, (29.550220000000003, 39.794835>)))
