((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (7.5, 14.5>) -> (tsize, (7.5, 14.5>)))
((estrec, (estrec, (11.0, 41.5>) -> (estrec, (1.0, 3.5>)))
((estrec, (estrec, (81.5, 131.5>) -> (estrec, (1.0, 3.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((estrec, (estrec, (131.5, 305.5>) -> (estrec, (1.0, 3.5>)))
((age, (age, (64.5, 74.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (49.5, 55.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (64.5, 74.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((pnodes, (pnodes, (1.5, 3.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (32.5, 41.5>) -> (progrec, (0.5, 9.0>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (64.5, 74.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (59.0, inf)) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (49.5, 55.5>) -> (tsize, (7.5, 14.5>)))
((pnodes, (pnodes, (1.5, 3.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (32.5, 41.5>) -> (progrec, (0.5, 9.0>)))
((estrec, (estrec, (11.0, 41.5>) -> (estrec, (1.0, 3.5>)))
((pnodes, (pnodes, (4.5, 9.5>) -> (pnodes, (9.5, inf))) AND (progrec, (progrec, (210.0, 406.5>) -> (progrec, (0.5, 9.0>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((estrec, (estrec, (41.5, 78.0>) -> (estrec, (1.0, 3.5>)))
((estrec, (estrec, (81.5, 131.5>) -> (estrec, (1.0, 3.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (64.5, 74.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((estrec, (estrec, (317.0, 574.0>) -> (estrec, (1.0, 3.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
((age, (age, (42.5, 64.5>) -> (age, (42.5, 64.5>)) AND (tsize, (tsize, (20.5, 49.5>) -> (tsize, (7.5, 14.5>)))
