id,left,right
0,33,33
1,134,27
2,61,27
3,291,33
4,80,27
5,0,33
6,45,33
7,5,21
8,291,33
9,291,33
10,291,33
11,45,33
12,19,33
13,24,33
14,5,21
15,134,27
16,12,21
17,291,33
18,84,27
19,61,27
20,291,33
21,45,33
22,36,27
23,291,33
24,291,33
25,291,33
26,7,21
27,9,21
28,24,33
29,291,33
30,4,33
31,291,33
32,291,33
33,7,21
34,393,25
35,24,33
36,291,33
37,1,21
38,2,33
39,291,33
40,4,21
41,51,33
42,291,33
43,80,27
44,291,33
45,1,21
46,45,33
47,80,27
48,19,33
49,61,27
50,61,27
51,3,21
52,7,21
53,4,21
54,6,33
55,134,27
56,45,33
57,51,33
58,51,33
59,4,21
60,291,33
61,7,21
62,5,33
63,45,33
64,0,33
65,134,27
66,19,33
67,80,27
